"Country","Zone","Product_Category","Customer_Rating","Feedback_Type","Volume_of_Feedback","Date"
"India","West","Juices","3","Positive","286","2024-01-02"
"Brazil","East","Juices","4","Positive","332","2024-01-02"
"China","South","Juices","2","Positive","328","2024-01-02"
"USA","South","Water","1","Positive","254","2024-01-02"
"USA","West","Juices","2","Negative","96","2024-01-02"
"India","West","Water","5","Negative","417","2024-01-02"
"China","East","Juices","1","Positive","376","2024-01-03"
"Germany","North","Water","3","Positive","377","2024-01-03"
"Brazil","West","Juices","1","Positive","309","2024-01-03"
"Germany","North","Carbonated Drinks","4","Positive","312","2024-01-03"
"USA","East","Juices","4","Positive","294","2024-01-03"
"Brazil","East","Juices","2","Positive","350","2024-01-03"
"USA","West","Water","5","Positive","63","2024-01-03"
"India","East","Water","2","Negative","246","2024-01-03"
"Germany","East","Water","5","Positive","226","2024-01-03"
"Germany","North","Carbonated Drinks","2","Positive","450","2024-01-03"
"Brazil","West","Water","2","Negative","155","2024-01-03"
"Germany","West","Juices","2","Negative","145","2024-01-03"
"China","South","Water","1","Positive","226","2024-01-03"
"India","North","Juices","3","Positive","271","2024-01-03"
"Brazil","North","Juices","2","Negative","449","2024-01-03"
"China","North","Water","4","Negative","418","2024-01-03"
"India","East","Water","1","Negative","175","2024-01-03"
"Germany","East","Juices","1","Negative","336","2024-01-03"
"Germany","East","Juices","4","Negative","402","2024-01-03"
"USA","West","Juices","3","Positive","104","2024-01-03"
"Germany","South","Juices","4","Positive","186","2024-01-03"
"Germany","South","Carbonated Drinks","3","Negative","418","2024-01-03"
"China","North","Juices","4","Negative","134","2024-01-03"
"China","South","Juices","2","Positive","369","2024-01-03"
"Brazil","South","Carbonated Drinks","1","Positive","229","2024-01-04"
"USA","North","Juices","5","Positive","331","2024-01-04"
"Brazil","North","Water","3","Negative","152","2024-01-04"
"China","West","Juices","1","Negative","497","2024-01-04"
"Germany","West","Juices","5","Positive","63","2024-01-04"
"China","North","Carbonated Drinks","4","Negative","84","2024-01-04"
"Brazil","North","Carbonated Drinks","5","Negative","291","2024-01-04"
"Brazil","West","Juices","5","Positive","161","2024-01-04"
"Germany","North","Juices","1","Negative","263","2024-01-04"
"USA","West","Water","1","Negative","313","2024-01-04"
"India","North","Water","2","Positive","143","2024-01-04"
"China","West","Carbonated Drinks","5","Positive","473","2024-01-04"
"Brazil","East","Water","3","Negative","70","2024-01-04"
"China","East","Juices","3","Negative","126","2024-01-04"
"China","East","Carbonated Drinks","3","Positive","494","2024-01-04"
"Germany","West","Juices","3","Negative","209","2024-01-04"
"China","East","Water","3","Negative","245","2024-01-04"
"Germany","East","Carbonated Drinks","1","Positive","424","2024-01-04"
"USA","South","Water","2","Negative","326","2024-01-04"
"Germany","East","Juices","4","Negative","150","2024-01-04"
"Brazil","North","Juices","2","Negative","167","2024-01-04"
"India","South","Juices","4","Positive","247","2024-01-04"
"Germany","West","Juices","4","Positive","473","2024-01-04"
"USA","East","Carbonated Drinks","1","Negative","197","2024-01-04"
"China","North","Water","5","Positive","466","2024-01-05"
"India","East","Water","2","Negative","408","2024-01-05"
"India","West","Water","3","Positive","216","2024-01-05"
"USA","North","Juices","5","Positive","262","2024-01-05"
"China","East","Carbonated Drinks","5","Negative","323","2024-01-05"
"China","East","Water","2","Positive","187","2024-01-05"
"India","North","Water","2","Negative","127","2024-01-05"
"Brazil","East","Carbonated Drinks","4","Negative","177","2024-01-05"
"Brazil","East","Water","2","Negative","298","2024-01-05"
"China","South","Carbonated Drinks","1","Negative","155","2024-01-05"
"Germany","North","Juices","2","Positive","407","2024-01-05"
"Brazil","East","Carbonated Drinks","5","Positive","155","2024-01-05"
"Brazil","East","Water","5","Negative","243","2024-01-05"
"Brazil","East","Juices","5","Negative","491","2024-01-05"
"Germany","South","Juices","2","Positive","259","2024-01-05"
"China","North","Juices","4","Positive","285","2024-01-05"
"China","West","Juices","2","Positive","152","2024-01-05"
"India","South","Carbonated Drinks","3","Positive","95","2024-01-05"
"Germany","West","Juices","5","Positive","60","2024-01-05"
"China","West","Carbonated Drinks","1","Positive","209","2024-01-05"
"Germany","South","Juices","5","Positive","319","2024-01-05"
"China","East","Carbonated Drinks","4","Negative","369","2024-01-05"
"China","North","Water","1","Negative","129","2024-01-05"
"USA","East","Water","1","Positive","445","2024-01-05"
"USA","East","Water","3","Positive","304","2024-01-06"
"Germany","North","Water","4","Negative","313","2024-01-06"
"India","West","Carbonated Drinks","1","Negative","316","2024-01-06"
"China","West","Carbonated Drinks","2","Negative","225","2024-01-06"
"Germany","South","Water","5","Negative","143","2024-01-06"
"USA","North","Carbonated Drinks","2","Negative","296","2024-01-06"
"India","West","Water","3","Negative","362","2024-01-06"
"USA","East","Water","3","Positive","473","2024-01-06"
"Germany","West","Water","4","Negative","451","2024-01-06"
"China","West","Carbonated Drinks","3","Positive","94","2024-01-06"
"Germany","West","Juices","1","Negative","370","2024-01-06"
"Germany","South","Carbonated Drinks","1","Positive","51","2024-01-06"
"USA","East","Juices","1","Positive","301","2024-01-06"
"Germany","East","Water","5","Negative","76","2024-01-06"
"China","South","Water","5","Negative","282","2024-01-06"
"Germany","South","Water","3","Negative","113","2024-01-06"
"Brazil","East","Juices","1","Positive","405","2024-01-06"
"India","East","Carbonated Drinks","3","Positive","89","2024-01-06"
"USA","East","Juices","3","Positive","469","2024-01-06"
"India","North","Water","2","Negative","301","2024-01-06"
"USA","East","Juices","3","Negative","484","2024-01-06"
"India","West","Water","1","Positive","263","2024-01-06"
"Germany","West","Carbonated Drinks","3","Negative","332","2024-01-06"
"Germany","West","Juices","3","Negative","389","2024-01-06"
"Brazil","East","Water","1","Positive","463","2024-01-07"
"China","East","Carbonated Drinks","3","Positive","401","2024-01-07"
"India","East","Carbonated Drinks","1","Negative","61","2024-01-07"
"Germany","South","Water","4","Positive","166","2024-01-07"
"Brazil","North","Juices","3","Negative","240","2024-01-07"
"USA","East","Water","2","Positive","312","2024-01-07"
"Brazil","South","Juices","2","Negative","331","2024-01-07"
"India","North","Juices","4","Negative","127","2024-01-07"
"China","West","Water","4","Positive","245","2024-01-07"
"India","East","Water","2","Negative","249","2024-01-07"
"Brazil","West","Juices","2","Positive","254","2024-01-07"
"Brazil","West","Juices","3","Negative","178","2024-01-07"
"USA","West","Carbonated Drinks","5","Negative","459","2024-01-07"
"China","South","Juices","1","Positive","495","2024-01-07"
"Brazil","North","Water","1","Positive","182","2024-01-07"
"India","South","Water","3","Positive","108","2024-01-07"
"China","East","Juices","3","Positive","199","2024-01-07"
"Germany","East","Carbonated Drinks","1","Positive","470","2024-01-07"
"China","South","Water","1","Negative","267","2024-01-07"
"Brazil","East","Juices","2","Positive","151","2024-01-07"
"Germany","North","Water","4","Positive","462","2024-01-07"
"China","South","Juices","2","Negative","203","2024-01-07"
"China","West","Water","1","Negative","393","2024-01-07"
"India","East","Carbonated Drinks","5","Negative","210","2024-01-07"
"Germany","North","Juices","5","Negative","300","2024-01-08"
"Germany","South","Juices","2","Negative","320","2024-01-08"
"Germany","West","Water","1","Negative","106","2024-01-08"
"Brazil","North","Water","1","Negative","191","2024-01-08"
"Germany","South","Juices","5","Negative","341","2024-01-08"
"China","West","Water","4","Positive","116","2024-01-08"
"Germany","North","Carbonated Drinks","4","Negative","194","2024-01-08"
"Brazil","South","Juices","2","Negative","261","2024-01-08"
"Brazil","East","Water","5","Negative","251","2024-01-08"
"India","West","Water","3","Negative","165","2024-01-08"
"USA","North","Juices","5","Positive","289","2024-01-08"
"USA","East","Water","5","Positive","330","2024-01-08"
"Brazil","East","Juices","1","Negative","429","2024-01-08"
"India","North","Juices","3","Negative","164","2024-01-08"
"India","South","Carbonated Drinks","3","Negative","445","2024-01-08"
"Brazil","West","Water","1","Positive","138","2024-01-08"
"USA","West","Carbonated Drinks","3","Positive","259","2024-01-08"
"China","West","Juices","4","Negative","404","2024-01-08"
"USA","South","Water","3","Negative","298","2024-01-08"
"Germany","West","Juices","5","Negative","483","2024-01-08"
"Germany","West","Juices","3","Positive","78","2024-01-08"
"China","West","Water","2","Negative","378","2024-01-08"
"Germany","East","Juices","2","Negative","286","2024-01-08"
"India","East","Carbonated Drinks","5","Negative","430","2024-01-08"
"India","West","Juices","2","Positive","303","2024-01-09"
"India","West","Water","3","Negative","323","2024-01-09"
"USA","East","Carbonated Drinks","1","Negative","257","2024-01-09"
"India","East","Water","5","Negative","92","2024-01-09"
"USA","North","Water","2","Positive","413","2024-01-09"
"India","North","Water","2","Negative","454","2024-01-09"
"USA","West","Carbonated Drinks","2","Negative","473","2024-01-09"
"China","South","Juices","2","Positive","263","2024-01-09"
"China","East","Juices","2","Positive","90","2024-01-09"
"USA","South","Carbonated Drinks","2","Negative","331","2024-01-09"
"Brazil","North","Juices","1","Positive","53","2024-01-09"
"Germany","East","Carbonated Drinks","5","Positive","118","2024-01-09"
"Germany","North","Water","5","Negative","174","2024-01-09"
"Brazil","West","Water","3","Negative","492","2024-01-09"
"India","West","Water","5","Negative","343","2024-01-09"
"China","East","Carbonated Drinks","1","Positive","191","2024-01-09"
"China","East","Water","1","Positive","97","2024-01-09"
"Germany","East","Water","4","Positive","210","2024-01-09"
"USA","South","Water","2","Positive","165","2024-01-09"
"India","East","Carbonated Drinks","1","Negative","301","2024-01-09"
"India","North","Water","1","Negative","312","2024-01-09"
"Brazil","East","Juices","1","Positive","451","2024-01-09"
"Germany","North","Carbonated Drinks","2","Positive","382","2024-01-09"
"Germany","South","Water","3","Negative","434","2024-01-09"
"Brazil","West","Carbonated Drinks","3","Positive","436","2024-01-10"
"China","North","Water","1","Negative","219","2024-01-10"
"India","South","Juices","4","Positive","435","2024-01-10"
"Germany","West","Juices","3","Negative","427","2024-01-10"
"Brazil","East","Carbonated Drinks","2","Positive","168","2024-01-10"
"India","North","Juices","2","Positive","227","2024-01-10"
"Germany","East","Water","1","Positive","452","2024-01-10"
"China","North","Water","3","Negative","358","2024-01-10"
"USA","North","Water","3","Negative","259","2024-01-10"
"China","East","Juices","1","Positive","251","2024-01-10"
"Germany","South","Juices","1","Positive","462","2024-01-10"
"China","South","Water","3","Negative","353","2024-01-10"
"China","North","Carbonated Drinks","3","Negative","262","2024-01-10"
"USA","South","Carbonated Drinks","3","Positive","267","2024-01-10"
"Brazil","East","Carbonated Drinks","2","Negative","74","2024-01-10"
"Brazil","South","Water","2","Negative","296","2024-01-10"
"Brazil","East","Carbonated Drinks","3","Negative","127","2024-01-10"
"China","West","Juices","4","Negative","446","2024-01-10"
"Germany","West","Juices","5","Negative","120","2024-01-10"
"Brazil","East","Carbonated Drinks","1","Positive","341","2024-01-10"
"India","East","Juices","1","Negative","371","2024-01-10"
"India","East","Water","1","Positive","275","2024-01-10"
"India","North","Carbonated Drinks","5","Negative","188","2024-01-10"
"USA","East","Water","3","Negative","97","2024-01-10"
"Germany","West","Water","1","Positive","385","2024-01-11"
"USA","South","Carbonated Drinks","1","Positive","168","2024-01-11"
"USA","East","Water","2","Positive","311","2024-01-11"
"USA","North","Water","3","Negative","214","2024-01-11"
"USA","East","Carbonated Drinks","2","Negative","139","2024-01-11"
"China","South","Water","3","Positive","362","2024-01-11"
"Germany","South","Carbonated Drinks","2","Negative","297","2024-01-11"
"China","North","Juices","3","Negative","335","2024-01-11"
"India","West","Water","1","Negative","223","2024-01-11"
"Brazil","North","Carbonated Drinks","2","Positive","109","2024-01-11"
"USA","West","Carbonated Drinks","4","Negative","421","2024-01-11"
"China","South","Carbonated Drinks","1","Negative","79","2024-01-11"
"China","West","Carbonated Drinks","1","Negative","194","2024-01-11"
"India","East","Juices","1","Positive","70","2024-01-11"
"USA","South","Carbonated Drinks","2","Positive","145","2024-01-11"
"China","East","Water","4","Negative","89","2024-01-11"
"Brazil","East","Water","4","Negative","194","2024-01-11"
"India","East","Juices","4","Negative","471","2024-01-11"
"USA","South","Juices","4","Negative","183","2024-01-11"
"Brazil","North","Carbonated Drinks","3","Negative","57","2024-01-11"
"China","South","Water","2","Positive","148","2024-01-11"
"India","East","Carbonated Drinks","3","Negative","195","2024-01-11"
"Brazil","North","Carbonated Drinks","4","Positive","475","2024-01-11"
"Brazil","North","Juices","1","Positive","375","2024-01-11"
"Germany","North","Water","5","Positive","55","2024-01-12"
"China","South","Water","4","Negative","315","2024-01-12"
"Germany","North","Carbonated Drinks","1","Positive","116","2024-01-12"
"China","East","Carbonated Drinks","4","Positive","369","2024-01-12"
"China","North","Water","2","Negative","294","2024-01-12"
"Brazil","South","Juices","1","Positive","65","2024-01-12"
"USA","East","Juices","5","Negative","86","2024-01-12"
"India","East","Water","1","Negative","124","2024-01-12"
"India","South","Carbonated Drinks","2","Positive","426","2024-01-12"
"Germany","North","Carbonated Drinks","3","Positive","493","2024-01-12"
"India","West","Carbonated Drinks","3","Positive","253","2024-01-12"
"India","South","Juices","1","Positive","351","2024-01-12"
"China","South","Carbonated Drinks","1","Negative","203","2024-01-12"
"Germany","East","Carbonated Drinks","4","Positive","380","2024-01-12"
"USA","West","Water","4","Negative","466","2024-01-12"
"Germany","East","Juices","4","Negative","50","2024-01-12"
"Germany","West","Water","5","Negative","287","2024-01-12"
"Brazil","West","Water","3","Positive","489","2024-01-12"
"India","West","Carbonated Drinks","4","Positive","199","2024-01-12"
"India","West","Water","3","Negative","166","2024-01-12"
"China","South","Juices","3","Negative","225","2024-01-12"
"USA","West","Carbonated Drinks","2","Negative","183","2024-01-12"
"USA","East","Water","2","Positive","401","2024-01-12"
"Germany","South","Carbonated Drinks","5","Positive","309","2024-01-12"
"China","North","Carbonated Drinks","2","Negative","443","2024-01-13"
"Brazil","East","Juices","4","Negative","318","2024-01-13"
"USA","North","Juices","3","Positive","406","2024-01-13"
"USA","East","Carbonated Drinks","5","Positive","423","2024-01-13"
"Germany","West","Water","5","Negative","311","2024-01-13"
"Brazil","South","Water","4","Positive","444","2024-01-13"
"USA","North","Carbonated Drinks","2","Negative","258","2024-01-13"
"India","North","Juices","4","Negative","187","2024-01-13"
"Germany","South","Carbonated Drinks","5","Negative","362","2024-01-13"
"China","East","Juices","4","Negative","361","2024-01-13"
"China","East","Carbonated Drinks","1","Negative","218","2024-01-13"
"India","East","Water","2","Positive","266","2024-01-13"
"India","North","Water","1","Negative","171","2024-01-13"
"Brazil","East","Juices","1","Negative","73","2024-01-13"
"Brazil","North","Water","5","Positive","158","2024-01-13"
"Brazil","North","Carbonated Drinks","2","Positive","54","2024-01-13"
"Brazil","South","Carbonated Drinks","3","Positive","152","2024-01-13"
"Brazil","East","Juices","5","Positive","232","2024-01-13"
"USA","West","Juices","5","Negative","91","2024-01-13"
"India","South","Juices","3","Positive","316","2024-01-13"
"Brazil","South","Carbonated Drinks","3","Negative","158","2024-01-13"
"China","West","Carbonated Drinks","4","Negative","294","2024-01-13"
"Germany","South","Carbonated Drinks","2","Negative","188","2024-01-13"
"Germany","South","Carbonated Drinks","1","Negative","228","2024-01-13"
"India","North","Carbonated Drinks","3","Negative","433","2024-01-14"
"USA","East","Carbonated Drinks","1","Positive","232","2024-01-14"
"India","West","Water","1","Positive","457","2024-01-14"
"Brazil","West","Juices","1","Positive","274","2024-01-14"
"USA","East","Juices","3","Positive","493","2024-01-14"
"Germany","South","Carbonated Drinks","1","Positive","271","2024-01-14"
"China","South","Juices","1","Negative","296","2024-01-14"
"Brazil","South","Juices","5","Positive","308","2024-01-14"
"China","West","Carbonated Drinks","1","Negative","317","2024-01-14"
"Germany","East","Water","3","Positive","419","2024-01-14"
"India","South","Carbonated Drinks","4","Negative","496","2024-01-14"
"Brazil","West","Carbonated Drinks","5","Negative","301","2024-01-14"
"India","East","Juices","4","Negative","482","2024-01-14"
"USA","South","Carbonated Drinks","1","Positive","250","2024-01-14"
"Germany","North","Carbonated Drinks","4","Negative","318","2024-01-14"
"India","East","Carbonated Drinks","3","Negative","153","2024-01-14"
"India","South","Water","2","Negative","195","2024-01-14"
"Germany","North","Carbonated Drinks","3","Negative","342","2024-01-14"
"Germany","North","Carbonated Drinks","1","Negative","466","2024-01-14"
"India","South","Water","3","Negative","394","2024-01-14"
"India","North","Juices","2","Negative","433","2024-01-14"
"India","South","Water","1","Negative","470","2024-01-14"
"India","South","Juices","4","Positive","387","2024-01-14"
"China","South","Water","5","Positive","105","2024-01-14"
"Germany","West","Water","5","Negative","242","2024-01-15"
"China","East","Water","3","Negative","353","2024-01-15"
"USA","East","Juices","3","Positive","480","2024-01-15"
"China","East","Carbonated Drinks","1","Positive","57","2024-01-15"
"Germany","East","Juices","5","Positive","98","2024-01-15"
"China","South","Juices","1","Positive","366","2024-01-15"
"Brazil","West","Carbonated Drinks","3","Positive","218","2024-01-15"
"Brazil","West","Juices","3","Negative","154","2024-01-15"
"China","East","Water","5","Positive","381","2024-01-15"
"China","East","Carbonated Drinks","3","Positive","355","2024-01-15"
"India","North","Juices","3","Negative","194","2024-01-15"
"Germany","North","Carbonated Drinks","2","Positive","405","2024-01-15"
"India","East","Juices","3","Positive","452","2024-01-15"
"Germany","North","Juices","3","Negative","227","2024-01-15"
"Brazil","North","Carbonated Drinks","3","Positive","114","2024-01-15"
"Brazil","East","Juices","3","Negative","421","2024-01-15"
"India","South","Water","3","Positive","129","2024-01-15"
"USA","East","Carbonated Drinks","4","Negative","347","2024-01-15"
"USA","North","Juices","4","Negative","214","2024-01-15"
"India","East","Water","3","Positive","245","2024-01-15"
"USA","East","Water","1","Negative","131","2024-01-15"
"Germany","North","Water","3","Positive","282","2024-01-15"
"India","East","Carbonated Drinks","2","Negative","77","2024-01-15"
"Brazil","South","Carbonated Drinks","5","Negative","132","2024-01-15"
"China","South","Water","4","Negative","487","2024-01-16"
"China","North","Carbonated Drinks","5","Negative","191","2024-01-16"
"China","East","Carbonated Drinks","1","Positive","210","2024-01-16"
"USA","North","Carbonated Drinks","3","Positive","64","2024-01-16"
"Brazil","West","Water","2","Positive","361","2024-01-16"
"India","North","Juices","4","Negative","126","2024-01-16"
"Brazil","North","Carbonated Drinks","4","Positive","137","2024-01-16"
"USA","East","Carbonated Drinks","2","Negative","188","2024-01-16"
"USA","North","Water","1","Negative","69","2024-01-16"
"India","East","Juices","3","Positive","469","2024-01-16"
"Germany","West","Juices","1","Negative","155","2024-01-16"
"USA","West","Carbonated Drinks","4","Positive","180","2024-01-16"
"Germany","South","Water","1","Negative","72","2024-01-16"
"USA","North","Water","5","Positive","92","2024-01-16"
"Brazil","South","Carbonated Drinks","2","Negative","341","2024-01-16"
"Brazil","North","Carbonated Drinks","2","Positive","219","2024-01-16"
"China","East","Carbonated Drinks","1","Positive","256","2024-01-16"
"USA","North","Water","2","Positive","170","2024-01-16"
"Germany","North","Juices","3","Negative","91","2024-01-16"
"Germany","North","Juices","4","Positive","483","2024-01-16"
"India","East","Water","1","Positive","62","2024-01-16"
"India","West","Juices","4","Negative","292","2024-01-16"
"India","North","Water","3","Positive","493","2024-01-16"
"Brazil","South","Water","4","Positive","144","2024-01-16"
"USA","West","Juices","5","Positive","200","2024-01-17"
"India","East","Juices","4","Negative","341","2024-01-17"
"Brazil","East","Juices","3","Negative","417","2024-01-17"
"India","West","Juices","3","Negative","324","2024-01-17"
"Germany","South","Water","4","Negative","371","2024-01-17"
"USA","West","Carbonated Drinks","5","Negative","398","2024-01-17"
"India","East","Juices","2","Negative","58","2024-01-17"
"India","North","Juices","4","Negative","284","2024-01-17"
"USA","North","Juices","2","Positive","204","2024-01-17"
"Brazil","East","Water","2","Positive","280","2024-01-17"
"India","North","Water","1","Positive","306","2024-01-17"
"USA","South","Carbonated Drinks","2","Negative","267","2024-01-17"
"India","East","Carbonated Drinks","5","Negative","380","2024-01-17"
"USA","South","Carbonated Drinks","5","Positive","89","2024-01-17"
"China","North","Water","2","Negative","181","2024-01-17"
"India","East","Water","1","Positive","364","2024-01-17"
"Germany","East","Juices","3","Positive","69","2024-01-17"
"USA","South","Carbonated Drinks","3","Negative","71","2024-01-17"
"China","West","Water","5","Negative","404","2024-01-17"
"Germany","East","Carbonated Drinks","4","Negative","220","2024-01-17"
"India","South","Carbonated Drinks","5","Negative","378","2024-01-17"
"China","North","Juices","5","Positive","237","2024-01-17"
"USA","West","Juices","2","Positive","242","2024-01-17"
"Germany","South","Carbonated Drinks","1","Negative","66","2024-01-17"
"Germany","South","Juices","2","Positive","328","2024-01-18"
"USA","South","Carbonated Drinks","4","Negative","466","2024-01-18"
"Germany","North","Juices","4","Positive","69","2024-01-18"
"Brazil","East","Carbonated Drinks","1","Positive","136","2024-01-18"
"Brazil","South","Juices","3","Positive","443","2024-01-18"
"China","East","Water","5","Negative","300","2024-01-18"
"India","East","Juices","3","Negative","115","2024-01-18"
"USA","South","Carbonated Drinks","2","Negative","216","2024-01-18"
"India","East","Carbonated Drinks","5","Positive","446","2024-01-18"
"Germany","North","Carbonated Drinks","1","Positive","272","2024-01-18"
"USA","East","Carbonated Drinks","4","Positive","374","2024-01-18"
"USA","South","Water","1","Negative","68","2024-01-18"
"India","East","Juices","4","Negative","354","2024-01-18"
"Brazil","North","Water","1","Positive","147","2024-01-18"
"USA","West","Water","2","Negative","318","2024-01-18"
"Brazil","West","Water","2","Positive","202","2024-01-18"
"India","East","Carbonated Drinks","5","Positive","457","2024-01-18"
"USA","West","Carbonated Drinks","3","Positive","296","2024-01-18"
"USA","South","Carbonated Drinks","3","Positive","440","2024-01-18"
"USA","North","Water","5","Negative","216","2024-01-18"
"China","North","Water","2","Positive","318","2024-01-18"
"Brazil","East","Water","4","Negative","239","2024-01-18"
"USA","North","Water","4","Negative","363","2024-01-18"
"Brazil","South","Carbonated Drinks","2","Negative","102","2024-01-18"
"USA","West","Juices","4","Positive","427","2024-01-19"
"USA","East","Juices","1","Negative","342","2024-01-19"
"China","North","Water","4","Positive","133","2024-01-19"
"USA","South","Juices","3","Negative","258","2024-01-19"
"Brazil","North","Water","3","Positive","268","2024-01-19"
"USA","West","Water","1","Positive","294","2024-01-19"
"India","West","Carbonated Drinks","2","Negative","97","2024-01-19"
"India","North","Carbonated Drinks","1","Negative","331","2024-01-19"
"USA","South","Juices","4","Negative","223","2024-01-19"
"Brazil","South","Carbonated Drinks","5","Negative","499","2024-01-19"
"Brazil","South","Water","5","Positive","203","2024-01-19"
"Brazil","North","Water","1","Negative","386","2024-01-19"
"USA","South","Carbonated Drinks","2","Positive","164","2024-01-19"
"India","West","Water","2","Positive","50","2024-01-19"
"Brazil","South","Juices","1","Positive","301","2024-01-19"
"India","North","Juices","3","Negative","472","2024-01-19"
"Brazil","East","Water","5","Negative","268","2024-01-19"
"Germany","East","Juices","2","Positive","424","2024-01-19"
"Brazil","North","Juices","5","Positive","377","2024-01-19"
"Brazil","West","Water","1","Positive","392","2024-01-19"
"USA","North","Water","3","Negative","445","2024-01-19"
"Brazil","North","Juices","2","Negative","178","2024-01-19"
"Brazil","North","Juices","3","Positive","380","2024-01-19"
"China","East","Water","3","Negative","174","2024-01-19"
"USA","East","Juices","1","Positive","339","2024-01-20"
"USA","West","Juices","2","Positive","206","2024-01-20"
"China","North","Juices","2","Negative","149","2024-01-20"
"India","North","Carbonated Drinks","2","Positive","482","2024-01-20"
"India","North","Water","2","Positive","86","2024-01-20"
"USA","East","Carbonated Drinks","1","Negative","425","2024-01-20"
"India","East","Juices","1","Positive","415","2024-01-20"
"Brazil","West","Juices","5","Positive","428","2024-01-20"
"China","South","Juices","3","Negative","406","2024-01-20"
"China","West","Juices","3","Negative","395","2024-01-20"
"USA","West","Carbonated Drinks","2","Negative","309","2024-01-20"
"Brazil","East","Water","4","Positive","145","2024-01-20"
"India","South","Water","5","Negative","155","2024-01-20"
"India","South","Juices","1","Negative","478","2024-01-20"
"Germany","South","Water","1","Positive","119","2024-01-20"
"Germany","East","Water","3","Positive","292","2024-01-20"
"USA","East","Juices","3","Negative","279","2024-01-20"
"USA","South","Water","2","Negative","62","2024-01-20"
"China","South","Carbonated Drinks","3","Positive","498","2024-01-20"
"China","North","Water","1","Positive","93","2024-01-20"
"China","East","Carbonated Drinks","1","Negative","64","2024-01-20"
"Brazil","North","Juices","2","Positive","148","2024-01-20"
"USA","East","Water","5","Positive","420","2024-01-20"
"Germany","East","Water","4","Negative","443","2024-01-20"
"Brazil","North","Water","2","Positive","246","2024-01-21"
"Germany","South","Water","2","Negative","155","2024-01-21"
"Brazil","South","Juices","5","Negative","466","2024-01-21"
"Brazil","South","Juices","3","Negative","242","2024-01-21"
"Brazil","South","Water","5","Negative","370","2024-01-21"
"Brazil","North","Juices","2","Negative","348","2024-01-21"
"India","East","Juices","5","Negative","470","2024-01-21"
"India","South","Water","3","Negative","324","2024-01-21"
"Brazil","North","Juices","5","Positive","117","2024-01-21"
"Brazil","West","Carbonated Drinks","5","Positive","493","2024-01-21"
"Brazil","South","Carbonated Drinks","5","Positive","315","2024-01-21"
"China","North","Water","2","Negative","407","2024-01-21"
"India","East","Carbonated Drinks","5","Positive","165","2024-01-21"
"USA","South","Juices","4","Positive","493","2024-01-21"
"India","West","Water","3","Negative","78","2024-01-21"
"USA","South","Juices","3","Positive","70","2024-01-21"
"USA","East","Water","5","Negative","331","2024-01-21"
"Brazil","West","Juices","3","Positive","422","2024-01-21"
"India","North","Juices","1","Negative","338","2024-01-21"
"USA","West","Carbonated Drinks","3","Positive","214","2024-01-21"
