"Country","Zone","Product_ID","Product_Category","Units_Sold","Revenue","Cost_of_Goods_Sold","Date"
"India","North","P1","Carbonated Drinks","300","1373.64","2844.02","2024-01-09"
"Germany","South","P40","Carbonated Drinks","148","2778.08","2006.34","2024-01-09"
"USA","North","P98","Carbonated Drinks","916","1531.55","1968.6","2024-01-09"
"Germany","South","P35","Juices","493","3797.98","1732.01","2024-01-09"
"India","North","P81","Water","710","2593.94","2934.22","2024-01-09"
"India","West","P75","Water","461","4345.5","2107.05","2024-01-09"
"India","South","P93","Juices","106","4279.04","2091.22","2024-01-09"
"China","South","P19","Juices","577","4132.13","2374.43","2024-01-09"
"Germany","North","P10","Carbonated Drinks","803","1264.02","1035.31","2024-01-09"
"Germany","North","P78","Water","458","4492.19","546.2","2024-01-09"
"India","West","P30","Carbonated Drinks","191","1235.6","637.33","2024-01-10"
"Brazil","East","P60","Juices","716","2000.84","1279.97","2024-01-10"
"Brazil","West","P99","Juices","264","2463.48","2351.78","2024-01-10"
"Germany","South","P100","Water","877","1861.46","888.66","2024-01-10"
"USA","North","P27","Carbonated Drinks","194","4118.35","569.13","2024-01-10"
"India","North","P59","Water","684","4565.87","2484.91","2024-01-10"
"India","South","P8","Water","769","4325.62","2631.97","2024-01-10"
"India","South","P16","Juices","626","4784.19","1622.13","2024-01-10"
"India","West","P25","Carbonated Drinks","967","4825.35","2233.54","2024-01-10"
"Brazil","North","P61","Juices","243","3492.02","1335.68","2024-01-10"
"Germany","East","P45","Juices","374","4135.13","896.37","2024-01-10"
"USA","South","P60","Juices","853","3132.04","1147.58","2024-01-10"
"India","North","P2","Carbonated Drinks","394","3599.19","1516.47","2024-01-10"
"Germany","South","P38","Carbonated Drinks","720","2109.6","825.6","2024-01-10"
"China","South","P29","Juices","962","2603.04","1953.83","2024-01-10"
"USA","North","P1","Carbonated Drinks","994","2916.23","1530.17","2024-01-10"
"Brazil","West","P27","Carbonated Drinks","131","2775.02","1704.16","2024-01-10"
"USA","East","P3","Juices","204","1872.6","646.48","2024-01-10"
"Germany","West","P87","Carbonated Drinks","318","4466.67","2640.05","2024-01-10"
"India","East","P99","Carbonated Drinks","826","2718.43","588.95","2024-01-10"
"Germany","West","P43","Carbonated Drinks","818","2204.72","1906.45","2024-01-10"
"India","West","P53","Juices","596","3583.21","2951.28","2024-01-10"
"India","West","P45","Water","527","3252.71","1001.72","2024-01-10"
"USA","North","P14","Carbonated Drinks","753","3579.75","937.09","2024-01-10"
"India","North","P94","Juices","905","2337.23","519.69","2024-01-11"
"USA","South","P60","Carbonated Drinks","452","3548.09","680.98","2024-01-11"
"USA","West","P78","Carbonated Drinks","217","1665.1","568.88","2024-01-11"
"India","South","P82","Carbonated Drinks","516","3225.56","2519.67","2024-01-11"
"India","North","P44","Water","226","4322.99","584.79","2024-01-11"
"USA","East","P38","Carbonated Drinks","294","1292.44","1715.35","2024-01-11"
"China","South","P22","Juices","268","1784.71","2254.63","2024-01-11"
"India","South","P27","Carbonated Drinks","125","1067.52","1629.57","2024-01-11"
"India","North","P65","Juices","809","4457.74","2538.52","2024-01-11"
"China","West","P44","Carbonated Drinks","937","2666.99","2181.39","2024-01-11"
"Brazil","West","P90","Juices","519","3513.8","2827.97","2024-01-11"
"India","West","P83","Carbonated Drinks","923","3402.12","2122.09","2024-01-11"
"India","West","P37","Carbonated Drinks","253","2549.46","841.38","2024-01-11"
"USA","East","P11","Juices","238","2495.04","1918.69","2024-01-11"
"China","East","P26","Water","105","1226.05","654.02","2024-01-11"
"China","South","P15","Juices","334","1401.26","600.57","2024-01-11"
"Brazil","South","P62","Water","474","2149.71","2627.87","2024-01-11"
"Brazil","East","P93","Juices","294","4782.94","2833.14","2024-01-11"
"Brazil","North","P4","Water","113","1503.57","876.87","2024-01-11"
"Germany","South","P84","Water","680","4421.63","1715.84","2024-01-11"
"India","East","P63","Water","429","3572.93","1164.32","2024-01-11"
"Brazil","North","P67","Carbonated Drinks","266","2265.61","1594.37","2024-01-11"
"Germany","North","P93","Carbonated Drinks","251","1363.56","1656.27","2024-01-11"
"USA","South","P41","Water","672","4055.7","735.74","2024-01-11"
"USA","West","P4","Carbonated Drinks","600","4090.46","1944.67","2024-01-12"
"Brazil","North","P5","Carbonated Drinks","475","4504.82","595.68","2024-01-12"
"Brazil","West","P28","Carbonated Drinks","833","3058.5","864.02","2024-01-12"
"Brazil","South","P7","Juices","558","1173.02","1038.25","2024-01-12"
"India","North","P27","Carbonated Drinks","526","2841.16","2190.38","2024-01-12"
"India","East","P50","Carbonated Drinks","954","1784.08","1915.37","2024-01-12"
"India","North","P93","Juices","249","2783.37","2387.21","2024-01-12"
"China","West","P65","Water","118","3481.94","2038.12","2024-01-12"
"China","West","P51","Juices","323","1577.86","1552.23","2024-01-12"
"India","West","P80","Water","131","3619.6","1598.03","2024-01-12"
"Germany","East","P34","Juices","757","3153.97","984.66","2024-01-12"
"Brazil","West","P61","Juices","647","3179.1","1573.94","2024-01-12"
"USA","East","P10","Carbonated Drinks","144","3230.01","1926.12","2024-01-12"
"China","West","P25","Water","343","1207.78","2399.97","2024-01-12"
"Germany","East","P52","Carbonated Drinks","429","3791.06","811.81","2024-01-12"
"China","East","P84","Water","949","4898.14","1377.98","2024-01-12"
"China","West","P36","Carbonated Drinks","791","4139.33","1001.34","2024-01-12"
"Germany","South","P66","Juices","439","2921.97","2824.5","2024-01-12"
"India","South","P92","Carbonated Drinks","347","3884.66","1527.67","2024-01-12"
"Brazil","North","P26","Carbonated Drinks","741","1622.34","1428.8","2024-01-12"
"Brazil","North","P37","Water","194","4997.63","932.06","2024-01-12"
"Germany","North","P68","Water","954","2755.31","1777.59","2024-01-12"
"India","East","P88","Carbonated Drinks","467","1141.78","1965.94","2024-01-12"
"Germany","North","P89","Juices","593","1631.78","532.42","2024-01-12"
"Germany","North","P91","Water","607","3601.39","1043.47","2024-01-13"
"Brazil","South","P36","Water","440","1093.41","1704.27","2024-01-13"
"Brazil","East","P29","Carbonated Drinks","476","3533.18","2731.38","2024-01-13"
"USA","North","P46","Juices","515","2606.4","857.17","2024-01-13"
"Germany","South","P37","Carbonated Drinks","721","1316.46","1236.44","2024-01-13"
"USA","North","P83","Water","256","3751.62","1311.2","2024-01-13"
"India","South","P25","Juices","246","4063.13","1336.04","2024-01-13"
"Germany","South","P87","Juices","175","1011.49","2975.99","2024-01-13"
"Germany","North","P84","Water","724","3674.37","1930.47","2024-01-13"
"Brazil","North","P75","Juices","358","1317.14","2545.09","2024-01-13"
"Brazil","North","P66","Carbonated Drinks","193","3891.95","911.11","2024-01-13"
"Germany","South","P83","Juices","595","3880.8","1132.94","2024-01-13"
"USA","East","P84","Water","593","4798.23","2997.08","2024-01-13"
"India","North","P21","Water","546","2010.12","774.59","2024-01-13"
"China","North","P91","Juices","246","1164.27","1239.24","2024-01-13"
"USA","East","P57","Carbonated Drinks","728","4843.01","2372.83","2024-01-13"
"USA","West","P70","Juices","856","1593.1","2158.15","2024-01-13"
"USA","West","P36","Water","329","2344.53","1916.72","2024-01-13"
"India","West","P92","Carbonated Drinks","294","3360.9","2110.62","2024-01-13"
"Brazil","North","P90","Juices","226","2572.53","1332.68","2024-01-13"
"China","East","P89","Carbonated Drinks","285","2488.68","1495.82","2024-01-13"
"China","West","P11","Carbonated Drinks","677","4949.05","2409.07","2024-01-13"
"China","West","P38","Juices","585","1547.02","2174.81","2024-01-13"
"China","West","P63","Juices","363","1032.69","2525.24","2024-01-13"
"USA","South","P35","Carbonated Drinks","713","1260.65","1646.24","2024-01-14"
"India","North","P45","Water","371","3507.29","1623.79","2024-01-14"
"Brazil","West","P33","Carbonated Drinks","754","2319.44","1065.31","2024-01-14"
"China","East","P85","Water","472","2909.35","1740.69","2024-01-14"
"Germany","South","P26","Juices","244","1900.21","2892.36","2024-01-14"
"Brazil","East","P77","Water","365","1056.82","1596.1","2024-01-14"
"China","West","P28","Carbonated Drinks","905","2188.67","2790.45","2024-01-14"
"India","East","P81","Carbonated Drinks","268","1824.47","1511.55","2024-01-14"
"USA","North","P42","Juices","657","3630.14","621.85","2024-01-14"
"India","West","P60","Juices","690","4906.61","1508.45","2024-01-14"
"Germany","South","P95","Water","819","1792.76","2415.7","2024-01-14"
"Germany","North","P79","Carbonated Drinks","690","3003.64","1757.39","2024-01-14"
"China","North","P57","Carbonated Drinks","100","4710.88","1291.43","2024-01-14"
"Germany","North","P58","Juices","399","3724.82","2805.94","2024-01-14"
"USA","North","P4","Juices","194","1059.82","1848.22","2024-01-14"
"USA","South","P34","Juices","244","4834.19","539.32","2024-01-14"
"Brazil","West","P6","Water","473","3289.84","2426.15","2024-01-14"
"USA","West","P25","Carbonated Drinks","794","1806.31","2980.67","2024-01-14"
"Germany","North","P40","Water","723","4163.13","2663.29","2024-01-14"
"China","West","P42","Water","183","1660.72","2480.95","2024-01-14"
"USA","East","P21","Juices","248","1971.85","2194.05","2024-01-14"
"China","East","P63","Juices","110","1998.65","2457.2","2024-01-14"
"China","East","P11","Carbonated Drinks","254","2981.82","825.95","2024-01-14"
"USA","North","P61","Water","392","2692.17","930.01","2024-01-14"
"Germany","South","P57","Carbonated Drinks","665","4965.2","1032.21","2024-01-15"
"USA","West","P6","Water","700","4484.56","2418.17","2024-01-15"
"India","South","P72","Carbonated Drinks","552","1593.81","755.23","2024-01-15"
"Germany","South","P4","Water","225","3427.18","2328.26","2024-01-15"
"Germany","West","P72","Juices","335","3330.57","735.85","2024-01-15"
"India","East","P85","Carbonated Drinks","538","2877.93","804.09","2024-01-15"
"India","South","P16","Juices","862","3226.99","884.02","2024-01-15"
"USA","West","P66","Juices","825","1612.05","2345.85","2024-01-15"
"Germany","East","P6","Juices","208","4677.36","1759.81","2024-01-15"
"USA","East","P13","Juices","714","4763.02","1058.65","2024-01-15"
"Brazil","West","P20","Juices","568","1796.22","2548.79","2024-01-15"
"China","West","P5","Juices","931","3184.19","1351.9","2024-01-15"
"Brazil","East","P57","Juices","915","4857.48","809.96","2024-01-15"
"Germany","North","P88","Water","886","3680.87","2220.44","2024-01-15"
"USA","North","P100","Carbonated Drinks","594","2946.83","2591.54","2024-01-15"
"India","North","P40","Carbonated Drinks","427","2352.47","1477.97","2024-01-15"
"India","North","P98","Water","181","4747.22","1113.16","2024-01-15"
"Brazil","East","P3","Water","100","3263.55","1279.81","2024-01-15"
"Brazil","North","P42","Carbonated Drinks","566","4280.23","644.7","2024-01-15"
"Germany","North","P47","Carbonated Drinks","575","1742.21","736.44","2024-01-15"
"Brazil","West","P43","Carbonated Drinks","303","2760.08","2192.73","2024-01-15"
"China","East","P55","Water","731","1279.02","850.92","2024-01-15"
"USA","West","P43","Water","418","4787.8","2980.06","2024-01-15"
"USA","East","P62","Carbonated Drinks","752","4378.13","1971.57","2024-01-15"
"India","South","P41","Carbonated Drinks","805","4981.58","790.95","2024-01-16"
"USA","East","P99","Juices","809","1720.5","2706.81","2024-01-16"
"USA","North","P51","Carbonated Drinks","464","4672.32","1232.34","2024-01-16"
"USA","East","P69","Juices","808","4954.78","593.96","2024-01-16"
"Brazil","North","P57","Carbonated Drinks","437","1982.83","754.6","2024-01-16"
"India","South","P34","Juices","463","2188.62","2354.06","2024-01-16"
"Germany","North","P90","Carbonated Drinks","100","3936.46","953.82","2024-01-16"
"USA","North","P28","Carbonated Drinks","764","3581.29","2934.03","2024-01-16"
"India","North","P24","Carbonated Drinks","988","4944.44","2964.85","2024-01-16"
"USA","West","P31","Carbonated Drinks","354","3247.15","1112.66","2024-01-16"
"China","West","P20","Juices","849","4691.44","2503.43","2024-01-16"
"Brazil","South","P20","Carbonated Drinks","751","1868.38","2128.62","2024-01-16"
"Germany","East","P19","Water","418","2700.08","2603.85","2024-01-16"
"USA","North","P72","Water","295","1767.69","1755.75","2024-01-16"
"Brazil","South","P73","Juices","407","3110.38","2117.2","2024-01-16"
"Germany","West","P100","Water","697","3582.27","871.08","2024-01-16"
"USA","West","P96","Carbonated Drinks","403","3463.76","2309.02","2024-01-16"
"Germany","West","P72","Water","622","1748.62","2571.91","2024-01-16"
"India","East","P42","Water","758","2456.68","1086.65","2024-01-16"
"Brazil","North","P85","Juices","575","4493.73","1197.02","2024-01-16"
"Brazil","West","P11","Juices","960","4039.67","507.65","2024-01-16"
"USA","North","P35","Water","767","3517.31","2878.14","2024-01-16"
"Germany","North","P67","Carbonated Drinks","831","1753.1","2631.86","2024-01-16"
"Germany","North","P66","Water","844","4129.43","2541.28","2024-01-16"
"China","South","P76","Carbonated Drinks","983","4739.24","1874.12","2024-01-17"
"India","North","P65","Carbonated Drinks","208","1289.35","1698.89","2024-01-17"
"India","South","P58","Carbonated Drinks","922","4217.1","789.27","2024-01-17"
"India","North","P49","Juices","145","1183.7","998.45","2024-01-17"
"Germany","North","P59","Water","831","1345.23","2836.3","2024-01-17"
"USA","East","P16","Water","316","3562.14","1393.57","2024-01-17"
"Germany","West","P91","Water","588","1790.73","2195.55","2024-01-17"
"USA","West","P100","Water","816","4103.46","2909.34","2024-01-17"
"Brazil","North","P3","Carbonated Drinks","945","4325.62","705.59","2024-01-17"
"Brazil","West","P77","Juices","944","4016.49","2015.06","2024-01-17"
"USA","South","P16","Carbonated Drinks","699","1440.72","1967.03","2024-01-17"
