"Country","Zone","Marketing_Spend","Campaign_Type","Customer_Reach","Brand_Awareness_Score","Date"
"USA","East","17937.28","Digital","91652","2","2024-01-05"
"Brazil","West","17599.12","Digital","64278","4","2024-01-05"
"Brazil","North","6994","Traditional","38168","9","2024-01-05"
"China","South","18806.59","Digital","95370","2","2024-01-05"
"Germany","West","8545.56","Traditional","39855","2","2024-01-05"
"USA","West","18517.63","Digital","55912","1","2024-01-05"
"India","East","8904.08","Traditional","92434","6","2024-01-05"
"Germany","South","15392.25","Digital","47448","6","2024-01-05"
"Germany","East","19426.06","Traditional","31146","2","2024-01-05"
"India","West","18894.39","Traditional","20013","5","2024-01-05"
"Brazil","East","8593.32","Traditional","58440","2","2024-01-05"
"Germany","West","18915.4","Traditional","68174","1","2024-01-05"
"China","East","13411.64","Traditional","71250","5","2024-01-05"
"China","East","7700.65","Traditional","40708","4","2024-01-05"
"Germany","North","15827.57","Traditional","99060","1","2024-01-05"
"Germany","West","7352.26","Digital","49114","5","2024-01-05"
"Brazil","South","5661.12","Traditional","58366","1","2024-01-05"
"Germany","South","18107.5","Traditional","27154","4","2024-01-05"
"USA","South","16198.78","Digital","85495","8","2024-01-05"
"India","East","12702.84","Digital","58095","7","2024-01-06"
"Brazil","West","5086.86","Digital","49882","9","2024-01-06"
"India","West","7707.08","Traditional","24835","8","2024-01-06"
"Germany","East","14180.83","Digital","25994","2","2024-01-06"
"Germany","South","8746.94","Digital","11140","3","2024-01-06"
"Germany","East","17432.5","Digital","14799","5","2024-01-06"
"China","North","12848.85","Digital","90457","10","2024-01-06"
"USA","East","14863.68","Digital","53389","3","2024-01-06"
"USA","South","10776.88","Traditional","49160","6","2024-01-06"
"India","North","8101.51","Digital","13404","6","2024-01-06"
"Brazil","East","10260.86","Digital","14768","10","2024-01-06"
"Brazil","East","7355.13","Digital","76267","2","2024-01-06"
"Germany","North","6958.36","Digital","58026","4","2024-01-06"
"USA","West","5490.73","Traditional","49023","9","2024-01-06"
"China","East","13517.72","Digital","48008","4","2024-01-06"
"China","West","12519.25","Traditional","70579","1","2024-01-06"
"Brazil","East","7049.11","Digital","54267","3","2024-01-06"
"Germany","West","17699.7","Digital","66667","7","2024-01-06"
"Brazil","South","12895.57","Digital","77683","4","2024-01-06"
"Brazil","West","15892.26","Traditional","37980","9","2024-01-06"
"Brazil","East","15418.6","Traditional","51323","5","2024-01-06"
"India","South","13208.28","Digital","48510","7","2024-01-06"
"China","South","17498.36","Digital","27871","5","2024-01-06"
"USA","East","15259.68","Traditional","57491","6","2024-01-06"
"USA","North","18069.16","Digital","34673","3","2024-01-07"
"China","West","12419.32","Traditional","43021","5","2024-01-07"
"Germany","West","9897.82","Traditional","36843","5","2024-01-07"
"India","North","14516.3","Traditional","49630","5","2024-01-07"
"Germany","North","9967.66","Traditional","48914","4","2024-01-07"
"USA","East","13663.68","Traditional","23786","7","2024-01-07"
"China","South","10545.34","Traditional","88582","2","2024-01-07"
"Germany","North","16472.7","Digital","67902","8","2024-01-07"
"Brazil","West","18941.73","Traditional","96971","5","2024-01-07"
"Brazil","West","11205.05","Digital","89370","5","2024-01-07"
"Germany","South","14108.02","Digital","44335","8","2024-01-07"
"Brazil","West","8499.51","Digital","38926","9","2024-01-07"
"USA","East","9272.19","Digital","55041","9","2024-01-07"
"USA","West","11129.15","Digital","48603","1","2024-01-07"
"India","West","11898.65","Digital","69273","7","2024-01-07"
"USA","North","11124.99","Traditional","56178","1","2024-01-07"
"India","South","17236.73","Traditional","44871","4","2024-01-07"
"China","West","7740.85","Digital","23324","2","2024-01-07"
"Germany","East","8655.09","Traditional","94853","1","2024-01-07"
"China","South","8286.11","Traditional","93853","8","2024-01-07"
"China","South","5864.82","Digital","48041","1","2024-01-07"
"USA","West","14993.45","Traditional","85647","10","2024-01-07"
"India","South","12933.18","Digital","28643","1","2024-01-07"
"Germany","West","5675.78","Digital","56079","10","2024-01-07"
"India","North","12463.03","Traditional","33577","10","2024-01-08"
"Germany","East","18895.17","Digital","74016","7","2024-01-08"
"Germany","East","13268.12","Digital","29706","2","2024-01-08"
"USA","East","17758.04","Digital","50036","10","2024-01-08"
"India","West","7013.61","Digital","81773","1","2024-01-08"
"USA","West","7012.97","Traditional","29868","5","2024-01-08"
"Germany","South","6405.09","Digital","97269","5","2024-01-08"
"China","North","14368.16","Traditional","98738","10","2024-01-08"
"India","East","11860.76","Traditional","51487","4","2024-01-08"
"USA","North","17537.61","Digital","45801","8","2024-01-08"
"Brazil","North","9821.37","Digital","18149","4","2024-01-08"
"China","South","9349.68","Digital","21765","2","2024-01-08"
"Brazil","West","10930.33","Digital","58389","9","2024-01-08"
"India","South","13594.54","Traditional","38456","10","2024-01-08"
"India","South","16759.74","Traditional","37796","4","2024-01-08"
"USA","West","14887.42","Digital","22306","9","2024-01-08"
"Brazil","South","10175.76","Traditional","25772","5","2024-01-08"
"China","West","14749.24","Digital","18105","4","2024-01-08"
"China","West","15998.31","Digital","90434","2","2024-01-08"
"India","West","14135.36","Digital","23698","9","2024-01-08"
"India","South","12026.78","Digital","56379","6","2024-01-08"
"China","East","8840.78","Traditional","35923","8","2024-01-08"
"India","West","15630.98","Traditional","82874","8","2024-01-08"
"USA","West","15975.53","Traditional","40225","4","2024-01-08"
"India","East","7766.99","Traditional","54169","5","2024-01-09"
"Germany","North","5758.27","Digital","42359","2","2024-01-09"
"Brazil","West","9156.3","Digital","17854","3","2024-01-09"
"USA","East","7770.56","Digital","66199","3","2024-01-09"
"China","North","5774.67","Digital","12957","1","2024-01-09"
"China","East","15148.39","Digital","90787","4","2024-01-09"
"USA","East","10369.33","Digital","96654","1","2024-01-09"
"USA","South","9610.22","Digital","51805","10","2024-01-09"
"Brazil","South","18007.19","Traditional","47473","5","2024-01-09"
"India","East","14613.82","Digital","92257","3","2024-01-09"
"India","East","15427.46","Digital","94471","1","2024-01-09"
"China","South","7706.42","Traditional","66138","7","2024-01-09"
"Brazil","East","19195.83","Digital","95923","2","2024-01-09"
"China","North","19382.19","Traditional","51887","6","2024-01-09"
"USA","East","15740.95","Traditional","90236","3","2024-01-09"
"Brazil","West","6732.56","Traditional","82946","10","2024-01-09"
"India","East","10877.29","Digital","43100","5","2024-01-09"
"Germany","North","17767.25","Digital","68409","9","2024-01-09"
"India","East","14129.27","Traditional","81685","1","2024-01-09"
"China","West","16173.72","Digital","45418","2","2024-01-09"
"Germany","West","13518.92","Traditional","46632","8","2024-01-09"
"Brazil","East","15906.47","Digital","47066","6","2024-01-09"
"Brazil","West","5902.97","Digital","55285","10","2024-01-09"
"China","East","5489.97","Digital","76756","7","2024-01-09"
"Germany","North","14076.02","Digital","55121","9","2024-01-10"
"Germany","East","13223.91","Digital","94570","10","2024-01-10"
"USA","East","12111.17","Traditional","84795","9","2024-01-10"
"Brazil","South","19611.18","Traditional","36698","6","2024-01-10"
"Brazil","North","19012.3","Digital","52650","8","2024-01-10"
"India","South","17718.22","Traditional","63932","6","2024-01-10"
"Germany","West","9565.39","Traditional","63049","2","2024-01-10"
"USA","West","8380.39","Traditional","89126","7","2024-01-10"
"Brazil","East","10532.34","Digital","86780","1","2024-01-10"
"USA","South","14457.68","Traditional","71173","1","2024-01-10"
"Brazil","North","16232.85","Traditional","94103","4","2024-01-10"
"India","East","11661","Traditional","54540","10","2024-01-10"
"Brazil","West","6274.19","Traditional","75991","2","2024-01-10"
"Germany","East","13627.86","Digital","92388","5","2024-01-10"
"Brazil","North","11900.51","Traditional","84065","10","2024-01-10"
"India","West","8809.98","Traditional","44226","4","2024-01-10"
"USA","North","12772.87","Digital","63296","7","2024-01-10"
"USA","South","19986.49","Traditional","81214","1","2024-01-10"
"USA","South","14290.35","Digital","44182","3","2024-01-10"
"China","East","16190.44","Digital","47072","5","2024-01-10"
"China","West","15624.11","Traditional","42605","7","2024-01-10"
"Brazil","North","6703.78","Traditional","23834","3","2024-01-10"
"USA","North","15949.74","Digital","40024","1","2024-01-10"
"Germany","North","7481.49","Traditional","76428","9","2024-01-10"
"China","South","10769.27","Traditional","53257","1","2024-01-11"
"India","East","18289.29","Digital","68130","9","2024-01-11"
"USA","North","6873.49","Digital","78906","5","2024-01-11"
"Brazil","West","13397.91","Digital","35952","7","2024-01-11"
"Brazil","North","12774.86","Digital","47094","8","2024-01-11"
"India","South","12029.72","Traditional","26665","9","2024-01-11"
"Brazil","West","11907.16","Digital","54679","8","2024-01-11"
"China","East","19482.73","Digital","61369","8","2024-01-11"
"Germany","West","19403.41","Traditional","29171","7","2024-01-11"
"Germany","South","14895.03","Traditional","17553","4","2024-01-11"
"India","East","6729.72","Traditional","50195","7","2024-01-11"
"USA","East","11994.02","Traditional","12352","8","2024-01-11"
"USA","North","18791.92","Digital","53940","8","2024-01-11"
"USA","North","16495.26","Traditional","63068","5","2024-01-11"
"China","East","17670.47","Traditional","35523","9","2024-01-11"
"Germany","South","12418.93","Traditional","38912","1","2024-01-11"
"China","East","11773.68","Traditional","87559","7","2024-01-11"
"USA","North","18610.71","Digital","10735","4","2024-01-11"
"India","West","8852.86","Traditional","43790","6","2024-01-11"
"Brazil","South","14437.28","Traditional","70160","1","2024-01-11"
"Germany","North","10855.34","Traditional","78501","2","2024-01-11"
"Brazil","West","13074.48","Digital","80902","4","2024-01-11"
"Brazil","West","14982.73","Digital","42574","1","2024-01-11"
"Germany","North","5873.59","Traditional","14057","5","2024-01-11"
"India","South","13838.61","Traditional","44837","9","2024-01-12"
"China","South","5578.26","Traditional","95476","3","2024-01-12"
"India","South","18027.05","Traditional","48939","7","2024-01-12"
"Brazil","West","16189.89","Digital","53545","1","2024-01-12"
"USA","South","11875.23","Traditional","30243","4","2024-01-12"
"India","West","9817.77","Digital","61860","7","2024-01-12"
"India","North","14892.87","Digital","46955","1","2024-01-12"
"Brazil","East","5473.58","Traditional","70266","9","2024-01-12"
"Brazil","South","13708.53","Traditional","30069","2","2024-01-12"
"India","North","19947.65","Traditional","45547","2","2024-01-12"
"India","South","17304.95","Digital","26988","2","2024-01-12"
"Germany","North","8998.61","Digital","60139","8","2024-01-12"
"Germany","West","15198.47","Digital","68831","7","2024-01-12"
"Brazil","South","7829.08","Digital","17341","5","2024-01-12"
"China","West","16250.04","Traditional","54256","9","2024-01-12"
"USA","West","8123.21","Digital","82062","6","2024-01-12"
"China","East","13521.12","Traditional","31309","6","2024-01-12"
"Brazil","East","14335.48","Digital","89885","4","2024-01-12"
"India","South","12188.66","Digital","18214","7","2024-01-12"
"Germany","North","12500.92","Digital","56686","1","2024-01-12"
"Germany","North","8102.79","Traditional","82527","6","2024-01-12"
"Germany","South","19854.72","Digital","41924","6","2024-01-12"
"Brazil","East","14473.98","Traditional","44515","1","2024-01-12"
"Brazil","West","8432.68","Digital","37651","5","2024-01-12"
"India","South","18402.36","Digital","73082","5","2024-01-13"
"USA","East","16320.38","Digital","31022","7","2024-01-13"
"Germany","South","11781.07","Traditional","65688","8","2024-01-13"
"USA","East","8353.37","Digital","12625","7","2024-01-13"
"China","East","16537.32","Traditional","62206","1","2024-01-13"
"India","South","19373.29","Digital","66100","3","2024-01-13"
"China","West","9243.38","Digital","11767","2","2024-01-13"
"China","South","13854.98","Digital","86042","2","2024-01-13"
"Brazil","East","11937.77","Digital","84571","2","2024-01-13"
"Germany","East","5253.3","Traditional","42863","2","2024-01-13"
"Brazil","East","13218.33","Traditional","75146","10","2024-01-13"
"USA","South","10581.43","Traditional","57817","9","2024-01-13"
"Germany","East","7381.12","Traditional","56873","1","2024-01-13"
"India","North","18883.76","Traditional","61831","8","2024-01-13"
"USA","East","13266.59","Traditional","20471","3","2024-01-13"
"Brazil","North","5866.22","Digital","48817","1","2024-01-13"
"China","North","9580.85","Traditional","75652","10","2024-01-13"
"Brazil","East","5877.85","Digital","41165","2","2024-01-13"
"India","West","18715.05","Digital","38826","8","2024-01-13"
"China","South","16140.27","Traditional","97259","1","2024-01-13"
"China","West","14651.6","Digital","60427","4","2024-01-13"
"India","West","5387.05","Digital","57797","4","2024-01-13"
"USA","North","17753.64","Digital","96456","1","2024-01-13"
"India","North","10959.32","Digital","50976","9","2024-01-13"
"India","East","10304.98","Traditional","66708","9","2024-01-14"
"USA","East","13185.78","Digital","96103","10","2024-01-14"
"USA","South","13181.82","Digital","50865","3","2024-01-14"
"China","South","11537.73","Traditional","64357","4","2024-01-14"
"USA","West","8568.33","Traditional","90711","4","2024-01-14"
"USA","West","9369.65","Digital","61878","10","2024-01-14"
"China","South","9692.08","Digital","95071","9","2024-01-14"
"Germany","South","8230.12","Digital","40385","9","2024-01-14"
"USA","East","17655.8","Digital","88394","6","2024-01-14"
"USA","West","8854.69","Traditional","81443","6","2024-01-14"
"China","West","15455.3","Traditional","65822","3","2024-01-14"
"USA","North","18944.49","Digital","62498","9","2024-01-14"
"India","North","12248.03","Traditional","44659","5","2024-01-14"
"China","South","13640.2","Digital","63363","4","2024-01-14"
"Germany","East","17728.21","Traditional","85193","10","2024-01-14"
"China","North","8885.59","Traditional","84172","7","2024-01-14"
"USA","South","8396.41","Traditional","66322","4","2024-01-14"
"India","North","10649.16","Traditional","50630","2","2024-01-14"
"Brazil","South","17584.44","Traditional","47342","10","2024-01-14"
"India","West","17445.44","Digital","80058","9","2024-01-14"
"Germany","West","15806.06","Traditional","82940","5","2024-01-14"
"Germany","East","17655.72","Digital","78388","10","2024-01-14"
"Brazil","West","19631.49","Digital","41696","1","2024-01-14"
"Brazil","East","6021.18","Traditional","84534","1","2024-01-14"
"China","North","16156.7","Digital","74380","6","2024-01-15"
"Brazil","North","19670.02","Digital","16418","3","2024-01-15"
"Brazil","West","12719.96","Digital","60393","7","2024-01-15"
"Germany","East","7827.3","Traditional","75853","7","2024-01-15"
"China","North","16779.42","Traditional","27677","5","2024-01-15"
"USA","East","10271.12","Traditional","49648","3","2024-01-15"
"USA","East","13813.73","Traditional","60043","6","2024-01-15"
"Brazil","South","9124.19","Traditional","33026","1","2024-01-15"
"Brazil","North","18876.05","Traditional","51304","6","2024-01-15"
"Brazil","West","12610.27","Digital","23465","9","2024-01-15"
"India","North","18861.46","Traditional","33688","10","2024-01-15"
"Germany","North","12873.67","Digital","94064","7","2024-01-15"
"Germany","South","19205.37","Traditional","57352","5","2024-01-15"
"China","East","13836.95","Traditional","49588","9","2024-01-15"
"Germany","North","12807.28","Traditional","38853","4","2024-01-15"
"Brazil","South","13591","Traditional","14237","7","2024-01-15"
"USA","East","5619.56","Traditional","35818","10","2024-01-15"
"China","South","10611.24","Traditional","65231","4","2024-01-15"
"Brazil","South","14999.1","Digital","12195","2","2024-01-15"
"India","West","8310.51","Digital","46801","5","2024-01-15"
"India","West","7905.83","Digital","16202","3","2024-01-15"
"Germany","South","10602.93","Digital","67209","8","2024-01-15"
"China","East","15004.08","Digital","58256","10","2024-01-15"
"USA","South","7615.01","Digital","46164","5","2024-01-15"
"Brazil","North","6537.9","Traditional","94027","8","2024-01-16"
"Brazil","North","16629.67","Traditional","45049","8","2024-01-16"
"Brazil","North","10865.92","Traditional","81365","3","2024-01-16"
"China","South","5912.98","Digital","71436","1","2024-01-16"
"China","West","15750.45","Digital","48031","10","2024-01-16"
"Brazil","North","16397.22","Digital","94382","10","2024-01-16"
"Germany","East","17254.53","Traditional","50054","9","2024-01-16"
"USA","North","7077.63","Digital","35582","1","2024-01-16"
"Germany","West","9190.08","Digital","40544","5","2024-01-16"
"USA","South","19424.85","Digital","94782","6","2024-01-16"
"India","South","10186.02","Digital","81146","6","2024-01-16"
"China","West","15835.61","Digital","27563","4","2024-01-16"
"India","East","18420.75","Traditional","78977","1","2024-01-16"
"China","South","18633.16","Traditional","18645","9","2024-01-16"
"Germany","West","12687.07","Traditional","46671","3","2024-01-16"
"USA","East","17410.63","Digital","80618","6","2024-01-16"
"Germany","North","19402.93","Digital","78205","6","2024-01-16"
"Brazil","North","18417.23","Traditional","88079","4","2024-01-16"
"Germany","North","17972.87","Digital","43015","5","2024-01-16"
"China","North","10118.83","Traditional","75805","2","2024-01-16"
"Germany","West","13162.67","Traditional","62424","1","2024-01-16"
"India","West","9127.08","Traditional","96744","8","2024-01-16"
"Germany","South","6945.67","Traditional","32957","6","2024-01-16"
"USA","South","11214.21","Traditional","28258","9","2024-01-16"
"USA","North","5264.55","Digital","81404","4","2024-01-17"
"India","North","15767.13","Traditional","23923","5","2024-01-17"
"India","North","14253.88","Digital","38854","6","2024-01-17"
"USA","South","14776.16","Digital","13596","4","2024-01-17"
"USA","West","10211.66","Traditional","42918","9","2024-01-17"
"India","North","17403.88","Traditional","73952","6","2024-01-17"
"USA","North","6792.98","Traditional","53548","8","2024-01-17"
"Germany","South","16869.75","Digital","19893","6","2024-01-17"
"China","West","13644.83","Traditional","96781","8","2024-01-17"
"Germany","West","19802.45","Digital","71953","9","2024-01-17"
"India","East","7167.03","Digital","45439","4","2024-01-17"
"Brazil","South","18721.67","Digital","59145","7","2024-01-17"
"USA","East","19560.89","Digital","58922","7","2024-01-17"
"India","West","10806.7","Digital","75180","3","2024-01-17"
"Germany","East","5054.93","Traditional","18175","8","2024-01-17"
"USA","West","8351.06","Traditional","33274","10","2024-01-17"
"USA","South","19842.87","Digital","94570","5","2024-01-17"
"China","East","12712.85","Traditional","71499","4","2024-01-17"
"India","North","7122.37","Digital","38960","2","2024-01-17"
"Brazil","North","13646.38","Traditional","64031","3","2024-01-17"
"Germany","East","16423.62","Traditional","77406","2","2024-01-17"
"Brazil","North","14300.53","Digital","33627","1","2024-01-17"
"Germany","North","15713.01","Digital","83583","4","2024-01-17"
"USA","North","8290.44","Digital","23011","2","2024-01-17"
"India","West","6991.66","Digital","83305","4","2024-01-18"
"USA","East","19283.54","Digital","36731","3","2024-01-18"
"Brazil","East","9061.62","Digital","99479","1","2024-01-18"
"India","South","7388.55","Digital","83902","2","2024-01-18"
"India","East","7280.1","Traditional","96028","6","2024-01-18"
"Germany","South","12541.42","Traditional","70875","5","2024-01-18"
"USA","North","5301.59","Digital","92363","10","2024-01-18"
"Brazil","North","7695.61","Digital","68115","4","2024-01-18"
"USA","West","19290.91","Traditional","27920","9","2024-01-18"
"Germany","North","14821.37","Traditional","23552","10","2024-01-18"
"USA","West","19767.26","Digital","85065","10","2024-01-18"
"Brazil","North","8965.37","Digital","55552","2","2024-01-18"
"Germany","East","16219.66","Traditional","94148","8","2024-01-18"
"Germany","East","18504.24","Traditional","93836","9","2024-01-18"
"China","North","17632.69","Traditional","98066","8","2024-01-18"
"Brazil","East","9368.32","Digital","99955","2","2024-01-18"
"China","East","9935.47","Digital","55677","1","2024-01-18"
"India","North","14120.87","Traditional","95172","2","2024-01-18"
"China","North","5922.65","Digital","21900","1","2024-01-18"
"India","South","11785.32","Digital","47172","9","2024-01-18"
"USA","West","15105.43","Digital","42413","3","2024-01-18"
"India","North","10119.53","Digital","77971","2","2024-01-18"
"USA","South","5711.32","Traditional","70151","7","2024-01-18"
"Brazil","North","11282.12","Digital","19006","2","2024-01-18"
"India","West","12226.15","Digital","69366","8","2024-01-19"
"Germany","West","11560.08","Digital","56719","8","2024-01-19"
"Germany","South","16473.55","Traditional","44614","10","2024-01-19"
"India","West","13259.02","Traditional","78332","6","2024-01-19"
"Germany","East","17033.63","Digital","98131","6","2024-01-19"
"China","West","5391.28","Digital","69544","6","2024-01-19"
"China","East","5654.27","Traditional","64089","9","2024-01-19"
"Germany","East","9476.25","Digital","39977","9","2024-01-19"
"China","East","18193.49","Digital","96408","3","2024-01-19"
"Germany","North","17763.62","Traditional","41427","6","2024-01-19"
"Brazil","East","19824.4","Digital","26631","8","2024-01-19"
"India","South","17561.41","Traditional","64207","10","2024-01-19"
"China","North","13188.37","Traditional","56490","1","2024-01-19"
"Germany","East","16460.98","Digital","31304","8","2024-01-19"
"USA","South","15721.57","Traditional","64360","2","2024-01-19"
"Germany","South","16626.68","Digital","30134","7","2024-01-19"
"India","East","10177.61","Traditional","45798","5","2024-01-19"
"Germany","North","15882.34","Traditional","91634","10","2024-01-19"
"India","East","18590.72","Digital","33517","2","2024-01-19"
"USA","East","12511.47","Digital","97680","4","2024-01-19"
"Brazil","South","16604.79","Traditional","21018","10","2024-01-19"
"Germany","West","16221.37","Traditional","44283","4","2024-01-19"
"USA","West","15873.9","Digital","39261","6","2024-01-19"
"India","South","16613.54","Traditional","99444","6","2024-01-19"
"USA","South","17123.68","Traditional","89130","4","2024-01-20"
"Germany","East","19412.63","Digital","71867","1","2024-01-20"
"China","West","19289.71","Traditional","63899","10","2024-01-20"
"India","North","14718.7","Traditional","15503","7","2024-01-20"
"USA","North","14425.09","Digital","55836","3","2024-01-20"
"Germany","South","17680.54","Digital","11249","6","2024-01-20"
"China","South","16476.31","Digital","93740","5","2024-01-20"
"India","North","16135.66","Traditional","17918","7","2024-01-20"
"India","East","14009.24","Digital","46991","1","2024-01-20"
"USA","South","10568.26","Digital","41876","7","2024-01-20"
"Brazil","South","5781.8","Digital","62519","5","2024-01-20"
"USA","East","7131.94","Traditional","31990","6","2024-01-20"
"India","North","5226.13","Digital","64057","1","2024-01-20"
"USA","East","16603.79","Traditional","31282","4","2024-01-20"
"Germany","South","15757.71","Traditional","96151","3","2024-01-20"
"USA","West","14091.54","Traditional","82124","6","2024-01-20"
"China","North","11474.85","Digital","87513","6","2024-01-20"
"China","North","14749.04","Digital","32314","7","2024-01-20"
"Germany","West","18632.68","Traditional","86483","6","2024-01-20"
"India","North","13921.8","Digital","40729","6","2024-01-20"
"China","East","18621.14","Digital","93006","10","2024-01-20"
"Germany","North","17623.14","Digital","86198","6","2024-01-20"
"USA","South","17808.55","Traditional","54647","8","2024-01-20"
"Brazil","West","7883.19","Digital","75682","9","2024-01-20"
"China","West","13964.33","Traditional","34735","4","2024-01-21"
"USA","South","13020.16","Digital","89304","9","2024-01-21"
"China","West","14417.27","Digital","30095","1","2024-01-21"
"Germany","North","12649.16","Digital","86390","6","2024-01-21"
