Country,Zone,Product_ID,Product_Category,Units_Sold,Revenue,Cost_of_Goods_Sold,Date,Marketing_Spend,Campaign_Type,Customer_Reach,Brand_Awareness_Score,Customer_Rating,Feedback_Type,Volume_of_Feedback,Competitor_Name,Competitor_Price,Competitor_Market_Share,Profit,Profit Margin
Brazil,West,P28,Water,400,2523.4,2751.71,2024-01-03,7408.09,Traditional,23254,3,2,Negative,155,Competitor_C,2.59,15.46,-228.30999999999995,-0.0904771340255211
Germany,East,P45,Water,470,1443.17,967.01,2024-01-03,9445.85,Traditional,45247,1,5,Positive,226,Competitor_B,9.15,14.99,476.1600000000001,0.32994033966892333
Germany,East,P21,Juices,773,1112.4,754.92,2024-01-03,9445.85,Traditional,45247,1,1,Negative,336,Competitor_B,5.66,23.73,357.48000000000013,0.32135922330097094
China,South,P70,Water,402,3764.31,2969.26,2024-01-03,18314.42,Traditional,59877,4,1,Positive,226,Competitor_C,1.71,22.28,795.0499999999997,0.21120736602458345
China,South,P85,Juices,362,1579.51,1284.96,2024-01-03,18314.42,Traditional,59877,4,2,Positive,369,Competitor_B,4.18,25.86,294.54999999999995,0.18648188362213594
Germany,South,P19,Juices,555,3071.86,2914.44,2024-01-03,14787.73,Digital,92229,2,4,Positive,186,Competitor_A,8.28,48.32,157.42000000000007,0.05124582500504583
Germany,South,P89,Juices,664,4468.78,2654.78,2024-01-03,14787.73,Digital,92229,2,4,Positive,186,Competitor_A,8.28,48.32,1813.9999999999995,0.4059273448234193
China,West,P62,Juices,625,2794.87,1042.18,2024-01-04,17856.7,Traditional,64391,4,1,Negative,497,Competitor_A,1.46,24.03,1752.6899999999998,0.6271096687860258
China,East,P12,Juices,659,2958.57,1105.23,2024-01-04,9815.73,Digital,20557,8,3,Negative,126,Competitor_C,9.85,23.93,1853.3400000000001,0.626431012279581
China,East,P15,Water,104,3443.76,799.23,2024-01-04,9815.73,Digital,20557,8,3,Negative,245,Competitor_C,2.19,29.42,2644.53,0.7679193672032895
India,North,P90,Water,427,4757.73,2889.94,2024-01-04,18105.4,Digital,96703,3,2,Positive,143,Competitor_A,2.59,38.94,1867.7899999999995,0.3925800749517101
Brazil,North,P92,Water,456,3214.11,2419.32,2024-01-04,15418.26,Traditional,59820,4,3,Negative,152,Competitor_A,4.73,10.3,794.79,0.2472815180563204
Usa,East,P5,Water,903,3547.68,1152.85,2024-01-05,8336.05,Digital,47654,4,1,Positive,445,Competitor_A,8.32,10.01,2394.83,0.6750411536553466
Germany,West,P33,Juices,405,2470.42,636.25,2024-01-05,14069.8,Digital,45780,8,5,Positive,60,Competitor_C,7.75,15.94,1834.17,0.7424527003505477
China,East,P83,Carbonated Drinks,777,1032.22,1272.46,2024-01-05,11204.34,Digital,53072,10,5,Negative,323,Competitor_A,7.27,16.94,-240.24,-0.23274108232741084
China,East,P21,Water,562,1062.02,2802.43,2024-01-05,11204.34,Digital,53072,10,2,Positive,187,Competitor_C,2.19,29.42,-1740.4099999999999,-1.638773281105817
Germany,North,P61,Juices,407,2805.4,2425.96,2024-01-05,15827.57,Traditional,99060,1,2,Positive,407,Competitor_B,7.49,13.55,379.44000000000005,0.1352534397946817
India,East,P22,Carbonated Drinks,519,4885.71,1050.96,2024-01-06,12702.84,Digital,58095,7,3,Positive,89,Competitor_C,6.25,34.71,3834.75,0.7848910393781047
Brazil,East,P42,Juices,633,1954.12,1561.19,2024-01-06,10260.86,Digital,14768,10,1,Positive,405,Competitor_A,6.8,27.76,392.92999999999984,0.20107772296481274
India,North,P14,Water,942,4122.09,1262.12,2024-01-06,8101.51,Digital,13404,6,2,Negative,301,Competitor_A,2.59,38.94,2859.9700000000003,0.6938155159154701
India,North,P88,Water,687,4207.35,2364.42,2024-01-06,8101.51,Digital,13404,6,2,Negative,301,Competitor_A,2.59,38.94,1842.9300000000003,0.43802631109843493
Germany,South,P69,Water,615,2180.4,2262.62,2024-01-06,8746.94,Digital,11140,3,5,Negative,143,Competitor_A,3.37,10.29,-82.2199999999998,-0.03770867730691607
China,West,P57,Carbonated Drinks,871,1281.69,634.22,2024-01-06,12519.25,Traditional,70579,1,2,Negative,225,Competitor_C,4.46,21.67,647.47,0.5051689566119733
China,South,P15,Water,582,1617.27,1259.78,2024-01-06,17498.36,Digital,27871,5,5,Negative,282,Competitor_C,1.71,22.28,357.49,0.22104534184149832
India,North,P41,Juices,209,2044.34,1777.64,2024-01-07,14516.3,Traditional,49630,5,4,Negative,127,Competitor_B,4.19,31.7,266.6999999999998,0.13045775164600792
India,North,P37,Juices,802,2742.97,2082.55,2024-01-07,14516.3,Traditional,49630,5,4,Negative,127,Competitor_B,4.19,31.7,660.4199999999996,0.240768218391014
Germany,North,P69,Water,162,4744.59,1601.07,2024-01-07,9967.66,Traditional,48914,4,4,Positive,462,Competitor_A,8.0,46.04,3143.5200000000004,0.6625482918439739
Germany,North,P88,Water,817,2840.46,2292.14,2024-01-07,9967.66,Traditional,48914,4,4,Positive,462,Competitor_A,8.0,46.04,548.3200000000002,0.19303915562972201
China,West,P6,Water,640,3611.2,886.75,2024-01-07,12419.32,Traditional,43021,5,4,Positive,245,Competitor_C,6.74,49.34,2724.45,0.7544445059813912
Usa,East,P67,Water,252,2628.7,2003.21,2024-01-07,13663.68,Traditional,23786,7,2,Positive,312,Competitor_A,8.32,10.01,625.4899999999998,0.23794651348575335
China,South,P79,Water,146,3932.23,2003.1,2024-01-07,10545.34,Traditional,88582,2,1,Negative,267,Competitor_C,1.71,22.28,1929.13,0.4905943955465474
Brazil,South,P61,Juices,765,1185.66,2823.6,2024-01-08,10175.76,Traditional,25772,5,2,Negative,261,Competitor_A,8.38,29.71,-1637.9399999999998,-1.3814584282171953
Brazil,South,P31,Juices,248,3650.17,693.83,2024-01-08,10175.76,Traditional,25772,5,2,Negative,261,Competitor_A,8.38,29.71,2956.34,0.809918442154749
Usa,East,P12,Water,567,3557.98,896.5,2024-01-08,17758.04,Digital,50036,10,5,Positive,330,Competitor_A,8.32,10.01,2661.48,0.7480311862348861
China,West,P1,Water,247,1388.55,1678.54,2024-01-08,14749.24,Digital,18105,4,4,Positive,116,Competitor_C,6.74,49.34,-289.99,-0.20884375787692197
Usa,East,P41,Carbonated Drinks,469,2230.27,2340.98,2024-01-09,7770.56,Digital,66199,3,1,Negative,257,Competitor_B,5.78,41.9,-110.71000000000004,-0.0496397297188233
China,South,P19,Juices,577,4132.13,2374.43,2024-01-09,7706.42,Traditional,66138,7,2,Positive,263,Competitor_B,4.18,25.86,1757.7000000000003,0.42537383867400114
India,East,P97,Carbonated Drinks,623,1349.92,1988.66,2024-01-09,7766.99,Traditional,54169,5,1,Negative,301,Competitor_C,6.25,34.71,-638.74,-0.4731687803721702
China,East,P11,Juices,260,2113.47,2846.85,2024-01-09,15148.39,Digital,90787,4,2,Positive,90,Competitor_C,9.85,23.93,-733.3800000000001,-0.34700279634913206
Brazil,West,P99,Water,758,4047.53,986.77,2024-01-09,9156.3,Digital,17854,3,3,Negative,492,Competitor_C,2.59,15.46,3060.76,0.7562044012027088
Germany,North,P10,Carbonated Drinks,803,1264.02,1035.31,2024-01-09,5758.27,Digital,42359,2,2,Positive,382,Competitor_C,8.04,25.45,228.71000000000004,0.18093859274378574
Germany,North,P78,Water,458,4492.19,546.2,2024-01-09,5758.27,Digital,42359,2,5,Negative,174,Competitor_A,8.0,46.04,3945.99,0.8784111981015942
Brazil,West,P27,Carbonated Drinks,131,2775.02,1704.16,2024-01-10,6274.19,Traditional,75991,2,3,Positive,436,Competitor_A,5.69,38.36,1070.86,0.3858927142867438
India,South,P16,Juices,626,4784.19,1622.13,2024-01-10,17718.22,Traditional,63932,6,4,Positive,435,Competitor_C,3.52,36.56,3162.0599999999995,0.6609394693772613
Usa,East,P38,Carbonated Drinks,294,1292.44,1715.35,2024-01-11,11994.02,Traditional,12352,8,2,Negative,139,Competitor_B,5.78,41.9,-422.90999999999985,-0.32721828479465187
China,East,P26,Water,105,1226.05,654.02,2024-01-11,19482.73,Digital,61369,8,4,Negative,89,Competitor_C,2.19,29.42,572.03,0.4665633538599568
Brazil,North,P67,Carbonated Drinks,266,2265.61,1594.37,2024-01-11,12774.86,Digital,47094,8,2,Positive,109,Competitor_A,9.9,20.09,671.2400000000002,0.2962734098101616
Usa,West,P4,Carbonated Drinks,600,4090.46,1944.67,2024-01-12,8123.21,Digital,82062,6,2,Negative,183,Competitor_C,1.01,41.6,2145.79,0.5245840321137476
Brazil,South,P7,Juices,558,1173.02,1038.25,2024-01-12,13708.53,Traditional,30069,2,1,Positive,65,Competitor_A,8.38,29.71,134.76999999999998,0.11489147670116451
India,West,P80,Water,131,3619.6,1598.03,2024-01-12,9817.77,Digital,61860,7,3,Negative,166,Competitor_C,7.32,14.59,2021.57,0.5585064648027406
India,South,P92,Carbonated Drinks,347,3884.66,1527.67,2024-01-12,13838.61,Traditional,44837,9,2,Positive,426,Competitor_C,2.77,14.07,2356.99,0.6067429324574094
Germany,North,P68,Water,954,2755.31,1777.59,2024-01-12,8998.61,Digital,60139,8,5,Positive,55,Competitor_A,8.0,46.04,977.72,0.3548493635924814
Usa,North,P46,Juices,515,2606.4,857.17,2024-01-13,17753.64,Digital,96456,1,3,Positive,406,Competitor_A,6.14,28.63,1749.23,0.6711287599754451
Germany,South,P37,Carbonated Drinks,721,1316.46,1236.44,2024-01-13,11781.07,Traditional,65688,8,5,Negative,362,Competitor_A,6.59,37.39,80.01999999999998,0.0607842243592665
India,South,P25,Juices,246,4063.13,1336.04,2024-01-13,18402.36,Digital,73082,5,3,Positive,316,Competitor_C,3.52,36.56,2727.09,0.6711796078392767
Brazil,North,P66,Carbonated Drinks,193,3891.95,911.11,2024-01-13,5866.22,Digital,48817,1,2,Positive,54,Competitor_A,9.9,20.09,2980.8399999999997,0.7658988424825601
Usa,East,P57,Carbonated Drinks,728,4843.01,2372.83,2024-01-13,16320.38,Digital,31022,7,5,Positive,423,Competitor_B,5.78,41.9,2470.1800000000003,0.5100505677254435
India,North,P21,Water,546,2010.12,774.59,2024-01-13,18883.76,Traditional,61831,8,1,Negative,171,Competitor_A,2.59,38.94,1235.5299999999997,0.6146548464768271
China,East,P89,Carbonated Drinks,285,2488.68,1495.82,2024-01-13,16537.32,Traditional,62206,1,1,Negative,218,Competitor_A,7.27,16.94,992.8599999999999,0.3989504476268544
China,West,P11,Carbonated Drinks,677,4949.05,2409.07,2024-01-13,9243.38,Digital,11767,2,4,Negative,294,Competitor_C,4.46,21.67,2539.98,0.5132257706024388
Usa,South,P35,Carbonated Drinks,713,1260.65,1646.24,2024-01-14,13181.82,Digital,50865,3,1,Positive,250,Competitor_A,5.65,27.02,-385.5899999999999,-0.3058660214968468
Brazil,West,P33,Carbonated Drinks,754,2319.44,1065.31,2024-01-14,19631.49,Digital,41696,1,5,Negative,301,Competitor_A,5.69,38.36,1254.13,0.5407037905701376
China,West,P28,Carbonated Drinks,905,2188.67,2790.45,2024-01-14,15455.3,Traditional,65822,3,1,Negative,317,Competitor_C,4.46,21.67,-601.7799999999997,-0.2749523683332799
India,East,P81,Carbonated Drinks,268,1824.47,1511.55,2024-01-14,10304.98,Traditional,66708,9,3,Negative,153,Competitor_C,6.25,34.71,312.9200000000001,0.1715128229019935
Usa,East,P21,Juices,248,1971.85,2194.05,2024-01-14,13185.78,Digital,96103,10,3,Positive,493,Competitor_B,7.87,35.77,-222.20000000000027,-0.11268605624160068
Germany,East,P6,Juices,208,4677.36,1759.81,2024-01-15,7827.3,Traditional,75853,7,5,Positive,98,Competitor_B,5.66,23.73,2917.5499999999997,0.6237599842646279
Usa,East,P13,Juices,714,4763.02,1058.65,2024-01-15,10271.12,Traditional,49648,3,3,Positive,480,Competitor_B,7.87,35.77,3704.3700000000003,0.7777355543331752
Usa,East,P62,Carbonated Drinks,752,4378.13,1971.57,2024-01-15,10271.12,Traditional,49648,3,4,Negative,347,Competitor_B,5.78,41.9,2406.5600000000004,0.5496776020812539
Brazil,West,P20,Juices,568,1796.22,2548.79,2024-01-15,12719.96,Digital,60393,7,3,Negative,154,Competitor_C,8.78,33.92,-752.5699999999999,-0.41897429045439866
Brazil,West,P43,Carbonated Drinks,303,2760.08,2192.73,2024-01-15,12719.96,Digital,60393,7,3,Positive,218,Competitor_A,5.69,38.36,567.3499999999999,0.20555563606851973
Germany,North,P88,Water,886,3680.87,2220.44,2024-01-15,12873.67,Digital,94064,7,3,Positive,282,Competitor_A,8.0,46.04,1460.4299999999998,0.3967621785067117
Germany,North,P47,Carbonated Drinks,575,1742.21,736.44,2024-01-15,12873.67,Digital,94064,7,2,Positive,405,Competitor_C,8.04,25.45,1005.77,0.5772955039863162
Brazil,North,P42,Carbonated Drinks,566,4280.23,644.7,2024-01-15,19670.02,Digital,16418,3,3,Positive,114,Competitor_A,9.9,20.09,3635.5299999999997,0.8493772530915396
China,East,P55,Water,731,1279.02,850.92,2024-01-15,13836.95,Traditional,49588,9,3,Negative,353,Competitor_C,2.19,29.42,428.1,0.33470938687432567
Usa,North,P51,Carbonated Drinks,464,4672.32,1232.34,2024-01-16,7077.63,Digital,35582,1,3,Positive,64,Competitor_B,6.78,38.2,3439.9799999999996,0.7362466611875899
Usa,North,P28,Carbonated Drinks,764,3581.29,2934.03,2024-01-16,7077.63,Digital,35582,1,3,Positive,64,Competitor_B,6.78,38.2,647.2599999999998,0.18073375794755514
Usa,North,P72,Water,295,1767.69,1755.75,2024-01-16,7077.63,Digital,35582,1,1,Negative,69,Competitor_C,4.03,24.7,11.940000000000055,0.006754578008587509
Usa,North,P35,Water,767,3517.31,2878.14,2024-01-16,7077.63,Digital,35582,1,1,Negative,69,Competitor_C,4.03,24.7,639.1700000000001,0.18172125857544547
Brazil,North,P57,Carbonated Drinks,437,1982.83,754.6,2024-01-16,6537.9,Traditional,94027,8,4,Positive,137,Competitor_A,9.9,20.09,1228.23,0.6194328308528719
India,East,P42,Water,758,2456.68,1086.65,2024-01-16,18420.75,Traditional,78977,1,1,Positive,62,Competitor_C,4.72,20.46,1370.0299999999997,0.5576753993194066
India,North,P49,Juices,145,1183.7,998.45,2024-01-17,15767.13,Traditional,23923,5,4,Negative,284,Competitor_B,4.19,31.7,185.25,0.1565008025682183
India,North,P71,Juices,101,1896.45,1598.35,2024-01-17,15767.13,Traditional,23923,5,4,Negative,284,Competitor_B,4.19,31.7,298.10000000000014,0.15718843101584545
Usa,South,P16,Carbonated Drinks,699,1440.72,1967.03,2024-01-17,14776.16,Digital,13596,4,2,Negative,267,Competitor_A,5.65,27.02,-526.31,-0.3653104003553778
Germany,South,P7,Water,689,1987.13,1561.32,2024-01-17,16869.75,Digital,19893,6,4,Negative,371,Competitor_A,3.37,10.29,425.8100000000002,0.21428391700593324
India,East,P11,Water,426,3300.15,1630.01,2024-01-17,7167.03,Digital,45439,4,1,Positive,364,Competitor_C,4.72,20.46,1670.14,0.5060800266654546
China,West,P21,Water,667,3168.46,2086.84,2024-01-17,13644.83,Traditional,96781,8,5,Negative,404,Competitor_C,6.74,49.34,1081.62,0.34137088680305255
Usa,North,P57,Water,832,4084.6,1630.65,2024-01-18,5301.59,Digital,92363,10,5,Negative,216,Competitor_C,4.03,24.7,2453.95,0.6007809822259217
Usa,West,P47,Carbonated Drinks,861,2638.28,1998.97,2024-01-18,19290.91,Traditional,27920,9,3,Positive,296,Competitor_C,1.01,41.6,639.3100000000002,0.24232075443091716
Germany,North,P3,Juices,198,4766.56,1108.8,2024-01-18,14821.37,Traditional,23552,10,4,Positive,69,Competitor_B,7.49,13.55,3657.76,0.7673794098888926
China,North,P49,Water,409,1530.56,1380.35,2024-01-18,17632.69,Traditional,98066,8,2,Positive,318,Competitor_B,1.38,13.75,150.21000000000004,0.09814054986410206
Brazil,East,P83,Water,491,2875.15,504.3,2024-01-18,9061.62,Digital,99479,1,4,Negative,239,Competitor_A,8.86,14.81,2370.85,0.8246004556284019
Usa,South,P93,Juices,629,4689.01,804.67,2024-01-19,15721.57,Traditional,64360,2,3,Negative,258,Competitor_B,3.6,47.57,3884.34,0.8283923472118848
Usa,West,P96,Juices,586,3083.22,2781.15,2024-01-19,15873.9,Digital,39261,6,4,Positive,427,Competitor_C,2.36,30.14,302.0699999999997,0.09797224979080303
Brazil,East,P35,Water,940,4286.62,2139.74,2024-01-19,19824.4,Digital,26631,8,5,Negative,268,Competitor_A,8.86,14.81,2146.88,0.5008328239965287
Brazil,South,P34,Water,308,4888.97,2625.71,2024-01-19,16604.79,Traditional,21018,10,5,Positive,203,Competitor_B,9.0,18.83,2263.26,0.4629318649940581
Brazil,West,P89,Juices,542,3921.16,2547.83,2024-01-20,7883.19,Digital,75682,9,5,Positive,428,Competitor_C,8.78,33.92,1373.33,0.35023564455416256
Usa,East,P92,Juices,216,3122.76,1242.53,2024-01-20,7131.94,Traditional,31990,6,1,Positive,339,Competitor_B,7.87,35.77,1880.2300000000002,0.6021051889994748
Usa,East,P64,Water,367,3888.61,963.21,2024-01-20,7131.94,Traditional,31990,6,5,Positive,420,Competitor_A,8.32,10.01,2925.4,0.752299664918827
Usa,East,P21,Carbonated Drinks,309,4989.8,1091.67,2024-01-20,7131.94,Traditional,31990,6,1,Negative,425,Competitor_B,5.78,41.9,3898.13,0.7812196881638542
China,West,P41,Juices,181,3046.93,2532.66,2024-01-20,19289.71,Traditional,63899,10,3,Negative,395,Competitor_A,1.46,24.03,514.27,0.168783004532431
Germany,South,P10,Water,485,4969.05,509.68,2024-01-20,17680.54,Digital,11249,6,1,Positive,119,Competitor_A,3.37,10.29,4459.37,0.8974290860426036
China,North,P12,Water,668,4741.32,557.67,2024-01-20,11474.85,Digital,87513,6,1,Positive,93,Competitor_B,1.38,13.75,4183.65,0.8823808559641618
India,North,P14,Water,877,3852.61,1351.63,2024-01-20,14718.7,Traditional,15503,7,2,Positive,86,Competitor_A,2.59,38.94,2500.98,0.6491651114439302
Usa,West,P33,Carbonated Drinks,984,3201.18,1086.59,2024-01-21,13168.36,Digital,62109,7,3,Positive,214,Competitor_C,1.01,41.6,2114.59,0.6605657913644345
Usa,East,P76,Water,124,4071.06,2470.76,2024-01-21,13486.53,Digital,84300,5,5,Negative,331,Competitor_A,8.32,10.01,1600.2999999999997,0.39309172549655363
Brazil,West,P51,Carbonated Drinks,387,1592.67,2073.34,2024-01-21,13368.74,Digital,75628,7,5,Positive,493,Competitor_A,5.69,38.36,-480.6700000000001,-0.30180137756095116
Brazil,West,P71,Juices,884,4386.59,1322.99,2024-01-21,13368.74,Digital,75628,7,3,Positive,422,Competitor_C,8.78,33.92,3063.6000000000004,0.6984012638518758
India,North,P58,Juices,998,2680.46,1456.21,2024-01-21,9711.74,Traditional,32267,9,1,Negative,338,Competitor_B,4.19,31.7,1224.25,0.4567313073129239
India,North,P39,Juices,584,2078.0,2831.78,2024-01-21,9711.74,Traditional,32267,9,1,Negative,338,Competitor_B,4.19,31.7,-753.7800000000002,-0.36274302213667
India,North,P100,Water,606,1339.36,1678.91,2024-01-21,9711.74,Traditional,32267,9,4,Positive,156,Competitor_A,2.59,38.94,-339.5500000000002,-0.2535166049456458
Germany,North,P17,Water,222,1621.62,2803.22,2024-01-22,18152.52,Digital,67503,4,5,Positive,294,Competitor_A,8.0,46.04,-1181.6,-0.7286540619873954
Brazil,South,P9,Juices,819,4487.02,2376.54,2024-01-22,9540.7,Traditional,76228,3,3,Positive,441,Competitor_A,8.38,29.71,2110.4800000000005,0.4703522605203454
Usa,East,P74,Juices,371,3955.74,1565.47,2024-01-22,6566.25,Traditional,14555,1,5,Negative,68,Competitor_B,7.87,35.77,2390.2699999999995,0.6042535657045204
Usa,East,P66,Water,464,1872.58,1147.2,2024-01-22,6566.25,Traditional,14555,1,4,Negative,165,Competitor_A,8.32,10.01,725.3799999999999,0.3873692979739183
Usa,South,P68,Juices,504,4906.91,2613.86,2024-01-22,11023.68,Traditional,65660,6,2,Negative,225,Competitor_B,3.6,47.57,2293.0499999999997,0.4673103847431479
Germany,South,P54,Water,610,1273.96,694.67,2024-01-22,16944.58,Digital,83030,3,3,Negative,164,Competitor_A,3.37,10.29,579.2900000000001,0.4547160036421866
Germany,South,P80,Water,943,4228.83,1199.18,2024-01-22,16944.58,Digital,83030,3,3,Negative,164,Competitor_A,3.37,10.29,3029.6499999999996,0.7164274752118197
Germany,West,P53,Water,283,3941.33,2564.05,2024-01-22,5255.55,Traditional,41049,1,5,Negative,415,Competitor_A,2.87,21.93,1377.2799999999997,0.3494454917502467
India,South,P89,Juices,820,2956.52,1930.96,2024-01-22,6254.58,Traditional,40145,2,1,Positive,417,Competitor_C,3.52,36.56,1025.56,0.346880792282819
India,North,P64,Juices,343,3075.88,2894.15,2024-01-23,18247.02,Digital,64169,7,3,Negative,81,Competitor_B,4.19,31.7,181.73000000000002,0.059082278892544575
Usa,South,P95,Water,132,1554.92,2188.84,2024-01-23,10492.22,Traditional,90884,9,4,Positive,440,Competitor_C,6.67,28.97,-633.9200000000001,-0.40768656908394
Brazil,East,P33,Water,302,3679.9,1840.24,2024-01-23,8333.84,Digital,46507,10,3,Positive,406,Competitor_A,8.86,14.81,1839.66,0.49992119351069325
Brazil,East,P15,Water,973,3105.25,2568.49,2024-01-23,8333.84,Digital,46507,10,3,Positive,406,Competitor_A,8.86,14.81,536.7600000000002,0.1728556476934225
Brazil,East,P48,Water,797,1808.47,1028.78,2024-01-23,8333.84,Digital,46507,10,3,Positive,406,Competitor_A,8.86,14.81,779.69,0.43113239368084627
Brazil,East,P57,Carbonated Drinks,654,1675.11,1650.44,2024-01-23,8333.84,Digital,46507,10,2,Positive,323,Competitor_C,2.64,12.45,24.669999999999845,0.014727391037006434
Brazil,East,P34,Carbonated Drinks,700,1306.44,1482.03,2024-01-23,8333.84,Digital,46507,10,2,Positive,323,Competitor_C,2.64,12.45,-175.58999999999992,-0.13440341691926144
Germany,South,P85,Water,952,3386.1,1837.05,2024-01-23,11705.77,Digital,89539,9,2,Positive,312,Competitor_A,3.37,10.29,1549.05,0.457473199255781
India,East,P51,Carbonated Drinks,147,4466.79,590.85,2024-01-23,18741.76,Traditional,53127,3,1,Negative,214,Competitor_C,6.25,34.71,3875.94,0.867723801656223
Usa,North,P60,Water,776,1479.89,556.15,2024-01-24,7945.84,Digital,98674,6,1,Positive,364,Competitor_C,4.03,24.7,923.7400000000001,0.6241950415233565
India,South,P3,Water,843,1465.95,2903.04,2024-01-24,16893.29,Traditional,50703,2,2,Positive,361,Competitor_A,4.9,23.31,-1437.09,-0.9803131075411848
Brazil,East,P14,Juices,494,3844.21,941.01,2024-01-24,18892.07,Digital,39434,4,1,Negative,443,Competitor_A,6.8,27.76,2903.2,0.7552136849963971
Brazil,East,P91,Juices,998,4208.76,1594.17,2024-01-25,8760.82,Traditional,48886,6,1,Negative,215,Competitor_A,6.8,27.76,2614.59,0.6212257291933966
Brazil,North,P26,Carbonated Drinks,281,4604.23,1999.87,2024-01-25,11975.23,Digital,42831,10,4,Negative,216,Competitor_A,9.9,20.09,2604.3599999999997,0.5656450698596726
India,West,P21,Water,206,2024.96,1954.04,2024-01-25,19103.53,Digital,15760,4,5,Positive,490,Competitor_C,7.32,14.59,70.92000000000007,0.03502291403286982
India,West,P2,Water,713,2393.41,2854.54,2024-01-25,19103.53,Digital,15760,4,5,Positive,490,Competitor_C,7.32,14.59,-461.1300000000001,-0.19266653018078814
China,East,P56,Carbonated Drinks,153,4501.73,2358.39,2024-01-25,7364.82,Traditional,94525,4,2,Negative,348,Competitor_A,7.27,16.94,2143.3399999999997,0.47611473811179256
China,East,P53,Carbonated Drinks,958,1101.3,899.21,2024-01-25,7364.82,Traditional,94525,4,2,Negative,348,Competitor_A,7.27,16.94,202.08999999999992,0.1835013166258058
India,North,P74,Water,742,1243.4,1622.15,2024-01-25,17647.03,Traditional,56016,3,4,Positive,223,Competitor_A,2.59,38.94,-378.75,-0.3046083319929226
India,North,P17,Water,439,2546.5,1929.29,2024-01-25,17647.03,Traditional,56016,3,4,Positive,223,Competitor_A,2.59,38.94,617.21,0.2423758099352052
Usa,West,P55,Water,479,1146.45,890.56,2024-01-26,15790.28,Traditional,53433,5,1,Positive,69,Competitor_B,8.4,33.33,255.8900000000001,0.2232020585285011
Brazil,North,P66,Carbonated Drinks,642,2106.81,1179.16,2024-01-26,9958.34,Digital,15519,8,2,Positive,478,Competitor_A,9.9,20.09,927.6499999999999,0.44031023205699604
