"Country","Zone","Competitor_Name","Competitor_Product_Category","Competitor_Price","Competitor_Market_Share"
"USA","South","Competitor_C","Juices","7.31","45.82"
"India","East","Competitor_C","Carbonated Drinks","9.84","43.4"
"India","East","Competitor_B","Carbonated Drinks","9.5","22.23"
"USA","North","Competitor_C","Water","4.03","24.7"
"China","North","Competitor_A","Water","7.67","28.9"
"Brazil","East","Competitor_B","Carbonated Drinks","7.04","41.76"
"Germany","South","Competitor_C","Juices","2.18","19.38"
"USA","South","Competitor_B","Juices","3.54","43.81"
"Germany","West","Competitor_B","Juices","8.93","49.03"
"Brazil","South","Competitor_C","Carbonated Drinks","8.48","23.71"
"USA","North","Competitor_A","Juices","6.14","28.63"
"USA","East","Competitor_B","Juices","6.84","39.52"
"India","West","Competitor_A","Juices","8.84","42.24"
"India","North","Competitor_C","Juices","4.3","35.99"
"India","North","Competitor_C","Carbonated Drinks","9.31","23.76"
"Germany","East","Competitor_A","Water","4.21","17.47"
"China","East","Competitor_A","Water","6.18","17.35"
"USA","South","Competitor_A","Juices","4.2","48.85"
"USA","West","Competitor_C","Juices","9.9","32.51"
"India","West","Competitor_B","Carbonated Drinks","8.95","18.77"
"Germany","South","Competitor_A","Water","7.87","31.43"
"USA","North","Competitor_A","Juices","5.2","49.79"
"USA","East","Competitor_A","Water","8.32","10.01"
"China","South","Competitor_A","Carbonated Drinks","9.35","37.89"
"China","East","Competitor_A","Water","2.97","49.63"
"India","South","Competitor_B","Juices","1.22","27.4"
"Brazil","North","Competitor_C","Juices","8.76","33.51"
"Brazil","North","Competitor_B","Juices","9.85","12.26"
"Brazil","North","Competitor_B","Juices","1.24","17.21"
"Brazil","South","Competitor_B","Juices","2.65","24.52"
"India","East","Competitor_A","Water","6.41","30.43"
"India","South","Competitor_B","Carbonated Drinks","8.62","24.66"
"Germany","North","Competitor_A","Water","8","46.04"
"Germany","North","Competitor_B","Water","2.12","39.79"
"China","South","Competitor_C","Water","1.71","22.28"
"China","North","Competitor_C","Water","8.63","18.06"
"China","East","Competitor_C","Carbonated Drinks","1.84","39.69"
"USA","West","Competitor_A","Juices","9.06","10.32"
"India","South","Competitor_A","Juices","7.22","31.39"
"USA","East","Competitor_B","Water","6.28","48.16"
"Brazil","West","Competitor_C","Carbonated Drinks","2.84","22.17"
"China","West","Competitor_A","Juices","1.46","24.03"
"Brazil","East","Competitor_B","Water","1.75","29.91"
"USA","West","Competitor_A","Water","6.22","27.64"
"USA","West","Competitor_C","Carbonated Drinks","8.4","41.33"
"Brazil","South","Competitor_C","Juices","5","10.29"
"India","West","Competitor_C","Juices","2.34","23.65"
"China","North","Competitor_A","Juices","4.28","41.59"
"Brazil","West","Competitor_B","Water","8.3","29.73"
"Germany","East","Competitor_A","Juices","4.39","38.63"
"Germany","West","Competitor_C","Juices","2.11","43.09"
"Germany","East","Competitor_B","Carbonated Drinks","2.19","10.97"
"Germany","South","Competitor_A","Water","5.36","46.57"
"China","South","Competitor_C","Carbonated Drinks","1.22","49.75"
"China","South","Competitor_B","Water","1.68","13.95"
"Brazil","East","Competitor_C","Juices","2.02","21.33"
"Germany","West","Competitor_B","Carbonated Drinks","7.79","34.54"
"India","South","Competitor_C","Juices","8.82","29.54"
"India","North","Competitor_C","Juices","1.79","15.02"
"China","West","Competitor_A","Water","1.46","36.02"
"USA","East","Competitor_B","Juices","8.07","23.23"
"India","South","Competitor_A","Carbonated Drinks","3.54","42.69"
"USA","South","Competitor_B","Water","1.12","13.55"
"India","South","Competitor_C","Juices","3.51","12.7"
"USA","West","Competitor_A","Juices","2.82","22.3"
"China","West","Competitor_C","Carbonated Drinks","4.46","21.67"
"India","South","Competitor_B","Juices","8.51","17.52"
"Germany","West","Competitor_A","Juices","1.42","26.3"
"Germany","North","Competitor_C","Water","9.35","16.61"
"Brazil","East","Competitor_B","Juices","8.55","23.41"
"Germany","North","Competitor_C","Carbonated Drinks","6.13","37.73"
"Brazil","South","Competitor_B","Water","8.2","24.55"
"Germany","North","Competitor_C","Carbonated Drinks","8.68","31.21"
"India","West","Competitor_B","Water","9.18","10.92"
"India","East","Competitor_A","Carbonated Drinks","4.6","29.19"
"Brazil","East","Competitor_A","Water","7.19","23.4"
"USA","West","Competitor_A","Water","9.4","46.14"
"USA","East","Competitor_C","Carbonated Drinks","5.77","24.53"
"USA","North","Competitor_C","Juices","1.79","18.87"
"China","South","Competitor_B","Water","4.12","16.37"
"Brazil","East","Competitor_B","Carbonated Drinks","9.04","15.24"
"China","West","Competitor_C","Carbonated Drinks","8.75","22.76"
"Brazil","North","Competitor_A","Water","4.73","10.3"
"China","West","Competitor_C","Water","9.78","20.15"
"India","North","Competitor_C","Juices","1.48","12.19"
"China","North","Competitor_B","Water","7.19","37.96"
"India","East","Competitor_C","Carbonated Drinks","3.52","35.87"
"Germany","East","Competitor_A","Juices","1.74","28.34"
"Germany","South","Competitor_A","Juices","5.19","17.18"
"Germany","West","Competitor_C","Carbonated Drinks","2.5","39.9"
"India","East","Competitor_B","Water","4","25.01"
"China","West","Competitor_C","Carbonated Drinks","4.21","33.8"
"India","East","Competitor_A","Water","7.57","30.37"
"USA","North","Competitor_B","Carbonated Drinks","6.78","38.2"
"USA","East","Competitor_A","Water","2.31","45.2"
"India","North","Competitor_B","Juices","4.64","33.69"
"Germany","West","Competitor_A","Juices","5.53","19.87"
"USA","South","Competitor_B","Water","1.33","26.5"
"Germany","South","Competitor_A","Juices","8.73","44.43"
"USA","North","Competitor_A","Juices","9.06","33.17"
"USA","East","Competitor_B","Carbonated Drinks","2.83","21.39"
"India","South","Competitor_C","Carbonated Drinks","1.65","23.4"
"Germany","West","Competitor_B","Juices","1.15","30.13"
"USA","North","Competitor_B","Water","9.16","11.86"
"China","North","Competitor_B","Water","4.24","23.05"
"Germany","North","Competitor_B","Juices","7.49","13.55"
"Brazil","North","Competitor_A","Carbonated Drinks","9.9","20.09"
"China","East","Competitor_C","Water","3.53","25.53"
"China","East","Competitor_C","Juices","3.77","48.54"
"USA","West","Competitor_A","Carbonated Drinks","5.86","44.05"
"USA","West","Competitor_A","Carbonated Drinks","6.27","42.75"
"India","North","Competitor_A","Carbonated Drinks","3.4","42.12"
"USA","West","Competitor_B","Juices","7.99","29.67"
"USA","West","Competitor_A","Carbonated Drinks","4.06","21.94"
"India","North","Competitor_B","Carbonated Drinks","9.91","46"
"USA","East","Competitor_C","Water","8.31","12.21"
"Brazil","South","Competitor_C","Water","3.53","12.66"
"Germany","South","Competitor_B","Carbonated Drinks","6.94","48.77"
"USA","South","Competitor_A","Juices","2.44","10"
"Germany","West","Competitor_C","Juices","6.89","15.54"
"India","East","Competitor_A","Water","9.06","24.56"
"Brazil","North","Competitor_A","Juices","2.94","24.05"
"Germany","North","Competitor_C","Juices","2.49","31.02"
"India","West","Competitor_B","Carbonated Drinks","8.85","25.63"
"Germany","West","Competitor_C","Juices","2.57","12.74"
"China","West","Competitor_B","Carbonated Drinks","7.28","23.59"
"USA","West","Competitor_A","Juices","4.53","24.31"
"Germany","South","Competitor_C","Juices","4.37","28.48"
"Brazil","South","Competitor_C","Carbonated Drinks","9.85","27.91"
"Brazil","North","Competitor_A","Water","4.91","34.25"
"USA","West","Competitor_C","Juices","1.04","14.15"
"USA","East","Competitor_B","Water","1.77","48.07"
"Brazil","East","Competitor_A","Juices","7.32","30.58"
"USA","North","Competitor_C","Juices","3.59","28.84"
"Germany","North","Competitor_A","Carbonated Drinks","6.29","31.65"
"Brazil","East","Competitor_A","Juices","4.08","43.71"
"Brazil","East","Competitor_B","Water","1.19","40.72"
"China","West","Competitor_B","Water","4.99","33.41"
"India","West","Competitor_C","Water","4.66","46.67"
"China","South","Competitor_B","Juices","8.94","15.67"
"Germany","East","Competitor_C","Juices","1.89","17.11"
"Brazil","South","Competitor_A","Carbonated Drinks","2.69","45.62"
"India","West","Competitor_A","Juices","3.55","19.22"
"China","South","Competitor_B","Water","1.64","44.13"
"China","North","Competitor_B","Juices","1.91","15.65"
"USA","West","Competitor_C","Juices","6.52","14.88"
"China","East","Competitor_B","Water","9.46","49.47"
"India","East","Competitor_A","Carbonated Drinks","4.36","19.17"
"Germany","North","Competitor_B","Carbonated Drinks","8.2","28.47"
"USA","West","Competitor_B","Juices","3.6","32.27"
"China","South","Competitor_C","Carbonated Drinks","3.25","22.62"
"India","South","Competitor_C","Water","7.01","15.63"
"USA","West","Competitor_B","Carbonated Drinks","5.48","33.05"
"Brazil","East","Competitor_A","Carbonated Drinks","3.61","33.37"
"India","North","Competitor_A","Juices","9.66","37.47"
"Germany","East","Competitor_C","Carbonated Drinks","1.99","35.29"
"India","West","Competitor_A","Juices","2.03","30.15"
"China","North","Competitor_B","Water","7.68","40.37"
"Brazil","East","Competitor_A","Water","2.75","49.48"
"Brazil","East","Competitor_A","Water","4.28","49.15"
"Brazil","East","Competitor_C","Carbonated Drinks","1.03","28.76"
"India","East","Competitor_A","Juices","9.9","34.8"
"India","East","Competitor_B","Water","1.74","31.56"
"Brazil","West","Competitor_C","Juices","3.99","15.18"
"USA","West","Competitor_C","Water","5.46","35.39"
"India","West","Competitor_B","Juices","6.29","17.78"
"USA","East","Competitor_B","Water","2.27","30.85"
"India","North","Competitor_A","Water","1.82","21.63"
"India","North","Competitor_A","Juices","6.32","45.21"
"China","North","Competitor_C","Juices","3.25","34.06"
"Germany","North","Competitor_C","Juices","3.81","11.71"
"USA","North","Competitor_A","Juices","8.19","12.81"
"USA","South","Competitor_B","Carbonated Drinks","6.72","30.25"
"USA","West","Competitor_C","Water","7.37","29.08"
"India","North","Competitor_C","Juices","4.67","21.3"
"China","South","Competitor_C","Carbonated Drinks","3.84","33.97"
"China","East","Competitor_B","Juices","2.36","18.72"
"China","East","Competitor_C","Water","6.84","38.64"
"Germany","West","Competitor_A","Water","4.61","31.83"
"Germany","West","Competitor_B","Water","6.87","19.24"
"USA","West","Competitor_C","Carbonated Drinks","7.14","25.39"
"Brazil","North","Competitor_C","Water","2.37","20.74"
"Germany","North","Competitor_B","Carbonated Drinks","3.24","19.16"
"Germany","South","Competitor_A","Juices","3.84","48.23"
"Brazil","South","Competitor_B","Juices","3.15","42.44"
"China","North","Competitor_C","Carbonated Drinks","9.68","17.62"
"China","South","Competitor_A","Juices","4.44","12.1"
"China","East","Competitor_C","Water","8.58","17.46"
"Germany","North","Competitor_B","Juices","1.19","16.21"
"China","East","Competitor_B","Water","7.51","48.59"
"India","North","Competitor_B","Water","1.01","38.25"
"India","South","Competitor_C","Juices","4.74","29.82"
"China","South","Competitor_B","Water","8.95","19.14"
"USA","East","Competitor_C","Juices","8.14","31.01"
"USA","East","Competitor_B","Carbonated Drinks","4.79","46.74"
"Brazil","South","Competitor_C","Juices","2.27","29.9"
"Brazil","East","Competitor_C","Carbonated Drinks","1.01","37.82"
"USA","South","Competitor_A","Juices","9.14","25.19"
"Germany","East","Competitor_B","Carbonated Drinks","7.42","18.07"
"Brazil","West","Competitor_B","Carbonated Drinks","3.93","35.28"
"Brazil","North","Competitor_C","Juices","5.61","46.7"
"India","North","Competitor_B","Water","5.33","43.3"
"China","West","Competitor_B","Carbonated Drinks","6.52","28.85"
"Brazil","South","Competitor_C","Water","6.11","47.89"
"Brazil","North","Competitor_A","Juices","3.18","24.8"
"India","South","Competitor_B","Water","5.81","42.07"
"India","East","Competitor_B","Water","7.23","21.2"
"China","East","Competitor_B","Juices","3.51","28.09"
"Germany","South","Competitor_A","Water","8.36","38.19"
"Brazil","East","Competitor_C","Water","9.97","49.8"
"Brazil","South","Competitor_A","Juices","7.56","44.88"
"Brazil","North","Competitor_B","Juices","7.91","29.74"
"China","West","Competitor_A","Carbonated Drinks","8.97","23.12"
"USA","East","Competitor_C","Water","5.76","30.65"
"India","East","Competitor_C","Juices","4.23","25.23"
"USA","West","Competitor_C","Carbonated Drinks","4.11","44.09"
"Brazil","South","Competitor_A","Juices","8.17","47.9"
"USA","West","Competitor_A","Water","5.85","14.22"
"China","South","Competitor_B","Water","4.27","45.06"
"India","West","Competitor_B","Juices","9.19","16.86"
"China","South","Competitor_A","Water","8.66","22.26"
"Brazil","East","Competitor_B","Water","9.64","40.74"
"India","North","Competitor_A","Water","4.36","27.63"
"Brazil","North","Competitor_A","Juices","7.31","17.13"
"China","South","Competitor_A","Water","7.12","36.12"
"USA","North","Competitor_B","Water","8.14","38.98"
"Germany","South","Competitor_A","Water","1.13","45.97"
"Germany","West","Competitor_C","Water","7.32","17.49"
"Brazil","North","Competitor_B","Water","7.11","35.13"
"Brazil","South","Competitor_C","Juices","5.4","35.53"
"India","North","Competitor_B","Water","2.95","13.33"
"Brazil","South","Competitor_A","Carbonated Drinks","5.01","36.63"
"China","North","Competitor_B","Juices","2.83","11.97"
"Brazil","West","Competitor_A","Water","9.21","42.24"
"Brazil","West","Competitor_A","Water","6.61","18.11"
"India","South","Competitor_C","Water","4.1","19.76"
"China","West","Competitor_B","Water","7.44","40.53"
"Brazil","South","Competitor_B","Water","2.61","14.38"
"USA","North","Competitor_B","Carbonated Drinks","3.71","30.7"
"USA","East","Competitor_A","Carbonated Drinks","3.65","48.61"
"India","South","Competitor_C","Juices","3.92","10.15"
"Brazil","South","Competitor_B","Carbonated Drinks","9.11","41.2"
"China","South","Competitor_B","Juices","8.42","15.81"
"Germany","South","Competitor_A","Juices","3.21","27.68"
"India","West","Competitor_B","Carbonated Drinks","2.88","24.94"
"China","South","Competitor_B","Juices","1.55","26.13"
"USA","West","Competitor_B","Juices","8.15","31.05"
"Brazil","South","Competitor_C","Carbonated Drinks","9.14","24.33"
"USA","South","Competitor_C","Juices","8.79","26.87"
"Brazil","South","Competitor_C","Juices","6.56","12.34"
"Brazil","East","Competitor_C","Water","5.73","12.14"
"Brazil","South","Competitor_B","Water","7.21","24.69"
"India","North","Competitor_B","Juices","8.6","36.86"
"Brazil","West","Competitor_A","Juices","5.69","27.49"
"China","South","Competitor_A","Carbonated Drinks","1.55","37.36"
"Brazil","North","Competitor_B","Carbonated Drinks","6.44","46.49"
"China","North","Competitor_C","Carbonated Drinks","2.32","24.74"
"China","South","Competitor_C","Water","7.26","22.24"
"Germany","West","Competitor_B","Water","4.7","33.33"
"India","North","Competitor_B","Water","8.44","48.63"
"Germany","North","Competitor_B","Juices","7.15","43.41"
"India","North","Competitor_C","Juices","1.41","45.65"
"China","West","Competitor_C","Carbonated Drinks","9.11","19.6"
"Brazil","East","Competitor_C","Juices","6.08","22.27"
"USA","South","Competitor_A","Juices","8.67","21.9"
"China","East","Competitor_B","Juices","2.88","11.64"
"China","South","Competitor_A","Juices","1.21","40.2"
"Brazil","West","Competitor_B","Juices","4.72","14.71"
"USA","North","Competitor_A","Water","3.05","36.39"
"India","South","Competitor_A","Carbonated Drinks","9.7","14.91"
"Brazil","South","Competitor_B","Juices","8.91","11.81"
"China","South","Competitor_A","Juices","2.81","30.68"
"USA","East","Competitor_C","Water","9.81","25.49"
"India","East","Competitor_A","Water","2.61","37.68"
"Brazil","South","Competitor_B","Water","8.96","20.07"
"China","West","Competitor_B","Juices","5.8","13.05"
"India","South","Competitor_C","Juices","3.05","40.07"
"USA","South","Competitor_C","Carbonated Drinks","8.73","10.22"
"Germany","North","Competitor_A","Water","6.22","23.2"
"USA","South","Competitor_C","Water","4.95","22.04"
"Brazil","West","Competitor_C","Water","5.73","40.35"
"Germany","West","Competitor_B","Carbonated Drinks","1.89","30.43"
"China","South","Competitor_C","Carbonated Drinks","9.26","40.43"
"India","West","Competitor_C","Water","5.05","20.77"
"India","West","Competitor_C","Juices","8.06","39.31"
"India","South","Competitor_A","Juices","6.36","24.32"
"India","West","Competitor_C","Juices","6","38.93"
"USA","West","Competitor_B","Juices","7.99","30.41"
"USA","West","Competitor_A","Carbonated Drinks","6.2","45.08"
"Germany","North","Competitor_C","Carbonated Drinks","1.42","41.58"
"USA","North","Competitor_B","Juices","5.9","26.41"
"Germany","South","Competitor_B","Juices","3.37","20.32"
"India","South","Competitor_A","Water","6.21","16.41"
"Brazil","West","Competitor_A","Carbonated Drinks","2.37","23.33"
"China","North","Competitor_A","Juices","3.58","24.63"
"India","South","Competitor_B","Juices","6.79","20.38"
"Germany","South","Competitor_B","Carbonated Drinks","3.18","43.11"
"Germany","East","Competitor_C","Water","3.63","16.9"
"Germany","East","Competitor_C","Water","5.44","26.58"
"China","East","Competitor_C","Water","6.48","33.82"
"Brazil","South","Competitor_B","Juices","5.02","42.38"
"Brazil","East","Competitor_B","Carbonated Drinks","1.63","41.64"
"India","East","Competitor_B","Carbonated Drinks","3.54","26.82"
"Brazil","South","Competitor_C","Water","3.6","32.2"
"USA","West","Competitor_B","Water","4.49","48.94"
"USA","West","Competitor_B","Juices","4.21","44.26"
"China","West","Competitor_A","Carbonated Drinks","6.86","19.21"
"China","South","Competitor_C","Carbonated Drinks","9.3","30.71"
"Brazil","East","Competitor_A","Water","7.6","41.14"
"China","North","Competitor_B","Juices","7.26","37.48"
"Germany","South","Competitor_C","Carbonated Drinks","9.33","12.92"
"India","South","Competitor_C","Water","7.62","41.46"
"Brazil","South","Competitor_B","Carbonated Drinks","5.38","12.37"
"Germany","South","Competitor_A","Juices","6.15","26.97"
"India","South","Competitor_A","Juices","7.29","14.52"
"USA","North","Competitor_A","Juices","2.2","18.62"
"Germany","South","Competitor_C","Juices","3.07","33.95"
"USA","South","Competitor_B","Water","3.48","47.97"
"USA","East","Competitor_C","Juices","3.83","17.54"
"India","East","Competitor_A","Carbonated Drinks","8.48","37.01"
"China","North","Competitor_B","Water","7.93","29.33"
"Germany","North","Competitor_A","Juices","8.48","35.85"
"Brazil","North","Competitor_C","Juices","8.03","36.73"
"India","North","Competitor_A","Juices","7.05","33.26"
"Brazil","West","Competitor_C","Water","2.8","20.47"
"Brazil","West","Competitor_A","Juices","8.85","28.83"
"USA","West","Competitor_A","Juices","8.18","49.14"
"USA","South","Competitor_C","Water","1.18","28.92"
"Brazil","North","Competitor_C","Carbonated Drinks","7.98","42.27"
"Brazil","North","Competitor_B","Carbonated Drinks","7.57","12.06"
"USA","East","Competitor_C","Water","7.45","27.72"
"Brazil","South","Competitor_B","Juices","9.09","42.85"
"China","South","Competitor_C","Water","2.85","20.41"
"China","North","Competitor_C","Water","7.65","19.43"
"Germany","South","Competitor_C","Juices","6.95","47.3"
"Brazil","East","Competitor_A","Carbonated Drinks","6.67","27.36"
"Brazil","East","Competitor_C","Carbonated Drinks","9.02","16.25"
"Germany","North","Competitor_C","Juices","2.25","15.82"
"Brazil","North","Competitor_A","Water","2.6","18.81"
"India","East","Competitor_C","Water","3.61","28.44"
"India","North","Competitor_C","Juices","2.96","15.67"
"Germany","South","Competitor_C","Carbonated Drinks","7.77","15.68"
"USA","West","Competitor_C","Juices","4.52","15.99"
"Germany","South","Competitor_C","Water","4.7","40.56"
"Germany","West","Competitor_B","Water","2.38","36.23"
"India","North","Competitor_C","Juices","6.14","20.2"
"Brazil","North","Competitor_B","Water","1.37","33.91"
"India","North","Competitor_B","Water","6.14","42.1"
"India","North","Competitor_C","Water","9.38","17.22"
"Brazil","East","Competitor_A","Carbonated Drinks","9.07","49.51"
"Brazil","North","Competitor_B","Carbonated Drinks","7.33","28.65"
"Brazil","East","Competitor_B","Water","5.87","29.37"
"Brazil","East","Competitor_A","Carbonated Drinks","6.2","36.5"
"USA","North","Competitor_C","Carbonated Drinks","1.34","10.44"
"USA","East","Competitor_B","Juices","2.09","22.5"
"India","North","Competitor_C","Water","6.12","21.73"
"Germany","East","Competitor_B","Carbonated Drinks","8.54","32.7"
"Brazil","South","Competitor_B","Carbonated Drinks","6.78","43.71"
"Brazil","North","Competitor_A","Water","6.66","34.07"
"Brazil","East","Competitor_A","Water","1.38","19.55"
"Brazil","North","Competitor_C","Juices","3.74","46.48"
"Brazil","East","Competitor_C","Water","9.3","33.74"
"USA","North","Competitor_C","Juices","8.55","33.53"
"China","South","Competitor_B","Juices","8.17","10.77"
"China","North","Competitor_A","Carbonated Drinks","7.35","44.63"
"India","West","Competitor_A","Carbonated Drinks","9.9","28.61"
"Germany","North","Competitor_C","Juices","6.86","18.55"
"India","North","Competitor_A","Water","3.88","44.46"
"USA","East","Competitor_B","Carbonated Drinks","5.55","14.44"
"India","West","Competitor_B","Water","1.87","37.96"
"Brazil","North","Competitor_B","Water","1.37","20.71"
"Brazil","South","Competitor_C","Juices","4.08","18.91"
"China","West","Competitor_C","Carbonated Drinks","4.71","14.66"
"China","East","Competitor_C","Carbonated Drinks","3.7","10.55"
"India","North","Competitor_C","Water","5.52","33.83"
"Germany","East","Competitor_A","Juices","6.2","16.99"
"India","North","Competitor_A","Carbonated Drinks","9.2","35.76"
"Brazil","East","Competitor_C","Juices","5.45","32.94"
"Germany","East","Competitor_B","Water","3.6","14.8"
"Brazil","South","Competitor_B","Water","2.6","26.47"
"Brazil","South","Competitor_C","Water","1.98","18.6"
"USA","East","Competitor_B","Water","3.08","16.5"
"USA","South","Competitor_B","Water","5.58","15.1"
"Brazil","West","Competitor_B","Juices","7.36","47.76"
"China","South","Competitor_C","Carbonated Drinks","3.68","47.75"
"Germany","East","Competitor_A","Juices","1.64","40.84"
"India","North","Competitor_B","Carbonated Drinks","2.97","40.73"
"India","West","Competitor_C","Water","2.42","14.71"
"Brazil","North","Competitor_B","Juices","6.54","36.95"
"China","West","Competitor_A","Juices","8.23","39.87"
"USA","West","Competitor_C","Carbonated Drinks","5.16","37.65"
"India","South","Competitor_A","Juices","9.66","43.93"
"China","South","Competitor_A","Juices","1.19","18.54"
"India","West","Competitor_C","Water","5.34","41.17"
"India","North","Competitor_B","Carbonated Drinks","9.95","39.71"
"Brazil","South","Competitor_B","Carbonated Drinks","2.8","27.93"
"Germany","East","Competitor_C","Juices","5.31","48.73"
